questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 40248.   Administração Financeira e Orçamentária - Nível Superior - TCE PR - CESPE - 2016,"e) Uma das limitações do SIOPGerencial, que fornece robusta base de dados para subsidiar decisões gerenciais, é disponibilizar somente a relação de valores referentes aos anos corrente e anterior.",d) O referido sistema pode ser utilizado para facilitar o processo de elaboração tanto da lei de diretrizes orçamentárias como da lei orçamentária anual.,'d',"a) Apesar de algumas entidades estatais receberem recursos públicos destinados à aplicação em investimentos, essas empresas não possuem acesso ao SIOP para acompanhamento da execução orçamentária.",,"c) O sistema em questão é utilizado pelos servidores da administração pública das áreas de orçamento, finanças, compras públicas e controle, com previsão de acesso aos cidadãos, desde que solicitado formalmente e com fundamento na lei de acesso à informação.",b) O SIOPLegis disponibiliza relatórios que permitem aos servidores o acompanhamento da execução orçamentária do ano corrente.,"A respeito do Sistema Integrado de Planejamento e Orçamento (SIOP), assinale a opção correta."
Questão 9939.   Administração Financeira e Orçamentária - Nível Superior - TRE MG - CONSULPLAN - 2013,"e) II, III e V, apenas.","d) II e IV, apenas.",'a',"a) I, II, III, IV e V.",,"c) I e III, apenas.","b) I e V, apenas.","A despesa pública é o conjunto de dispêndios realizados pelos entes públicos para o funcionamento e manutenção dos serviços públicos prestados à sociedade. A respeito da despesa pública, analise as afirmativas.

I. O orçamento Federal está organizado em programas, a partir dos quais se relacionam as ações sob a forma de atividades, projetos ou operações especiais, especificando os respectivos valores e metas e as unidades orçamentárias responsáveis pela realização da ação.
II. A reserva de contingência destinada ao atendimento de passivos contingentes e outros riscos, bem como eventos fiscais imprevistos, poderá ser utilizada para abertura de créditos adicionais, visto que não há execução direta da reserva.
III. O orçamento anual pode ser alterado por meio de créditos adicionais. Por crédito adicional, entendem-se as autorizações de despesas não computadas ou insuficientemente dotadas na lei orçamentária.
IV. Despesas de exercícios anteriores são despesas fixadas, no orçamento vigente, decorrentes de compromissos assumidos em exercícios anteriores àquele em que deva ocorrer o pagamento, desde que, dentro do prazo estabelecido, o credor tenha cumprido sua obrigação.
V. O suprimento de fundos é caracterizado por ser um adiantamento de valores a um servidor para futura prestação de contas. Esse adiantamento constitui despesa orçamentária, ou seja, para conceder o recurso ao suprido é necessário percorrer os três estágios da despesa orçamentária: empenho, liquidação e pagamento.

Estão corretas as afirmativas"
Questão 13264.   Administração Financeira e Orçamentária - Nível Superior - SUSAM - FGV - 2014,e) LDO  PPA  LOA,d) PPA  LOA  LDO,'c',a) LDO  LOA  PPA,,c) PPA  LDO  LOA,b) LOA  PPA  LDO,"Acerca dos  instrumentos de orçamento público no Brasil,  leia  o  fragmento a seguir.

Com  vigência  de  quatro  anos,  o(a)  _____  tem  como  função  estabelecer  as  diretrizes,  objetivos  e metas  de médio  prazo  da  administração  pública.  Por  sua  vez,  cabe  ao(à)  _____,  anualmente,  enunciar  as  políticas  públicas  e  respectivas  prioridades para o exercício seguinte. Finalmente, o(a) _____ tem  como principais objetivos estimar a receita e fixar a programação  das despesas para o exercício financeiro.

Assinale  a  alternativa  cujos  itens  completam  corretamente  as  lacunas do fragmento acima."
Questão 23048.   Administração Financeira e Orçamentária - Nível Superior - CADE - CESPE - 2014,,,'b',Certo," Com referência ao processo de orçamentação público no Brasil, incluindo classificações e conceitos técnicos, bem como o acompanhamento da execução e a descentralização financeira,",,Errado,"A estrutura programática da despesa pública definida para a LOA deve ser a mesma para todos os entes da Federação, devido aos objetivos de consolidação das contas públicas.
"
Questão 27837.   Administração Financeira e Orçamentária - Nível Superior - Câmara de Mossoró RN - COMPERVE - 2012,,d) Relatório de Despesas Pagas e Relatório de Restos a Pagar.,'b',a) Relatório de Gastos com Pessoal e Relatório de Arrecadação Fiscal.,,c) Relatório de Auditoria Externa e Relatório de Responsabilidade do Gestor.,b) Relatório Resumido da Execução Orçamentária e Relatório da Gestão Fiscal.,"São relatórios de publicação obrigatória, segundo a Lei de Responsabilidade Fiscal, "
Questão 40170.   Administração Financeira e Orçamentária - Nível Médio - TCE RO - CESPE - 2013,,,'b',Certo,,,Errado,"A respeito da transparência, controle e fiscalização da gestão, julgue os itens a seguir.

Relatório de gestão fiscal emitido a cada quadrimestre pelos titulares dos Poderes e dos órgãos conterá o montante das disponibilidades de caixa."
Questão 11509.   Administração Financeira e Orçamentária - Nível Médio - MAPA - CONSULPLAN - 2014,,d) Lei de Diretrizes Orçamentárias.,'d',"a) Plano Plurianual.
",,"c) Lei do Orçamento Anual.
","b) Constituição Federal.
","Se verificado, ao final de um bimestre, que a realização da receita poderá não comportar o cumprimento das metas de resultado primário ou nominal estabelecidas no Anexo de Metas Fiscais, os poderes e o Ministério Público promoverão, por ato próprio e nos montantes necessários, nos trinta dias subsequentes, limitação de empenho e movimentação financeira, segundo os critérios fixados no(a)"
Questão 37162.   Administração Financeira e Orçamentária - Nível Médio - TRT ES - CESPE - 2013,,,'a',Certo,,,Errado,"A respeito de orçamento público, julgue os itens subsequentes.

Caso determinada dotação orçamentária, destinada ao pagamento do serviço de uma dívida contraída pela União, tenha sido vetada pelo presidente da República, os recursos correspondentes ao veto poderão ser utilizados, mediante autorização do Poder Legislativo, para pagamento de contrato de mão de obra."
Questão 6979.   Administração Financeira e Orçamentária - Nível Superior - Detran PE - FUNCAB - 2010,"e) é sempre inadmissível a vinculação de receita de impostos a órgão, fundo ou despesa.","d) os projetos de lei relativos ao orçamento anual serão apreciados unicamente pelo Senado Federal.
",'b',"a) leis de iniciativa do Poder Legislativo estabelecerão o plano plurianual.
",,"c) são vedadas emendas a projetos de lei relativos ao orçamento anual.
","b) a lei orçamentária anual compreende o orçamento fiscal, o orçamento de investimento das empresas em que a União, direta ou indiretamente, detenha a maioria do capital social e o orçamento da seguridade social.
","Acerca das regras sobre orçamento, previstas na Constituição Federal, é correto afirmar que:
"
Questão 32500.   Administração Financeira e Orçamentária - Nível Médio - DEPEN - CESPE - 2015,,,'b',Certo,,,Errado,"No que se refere a orçamento público e sua execução no Brasil, julgue o item que se segue.

Em observância ao princípio da separação de poderes, o presidente da República não poderá propor modificações no projeto de lei relativo ao PPA.  "
Questão 6979.   Administração Financeira e Orçamentária - Nível Superior - Detran PE - FUNCAB - 2010,"e) é sempre inadmissível a vinculação de receita de impostos a órgão, fundo ou despesa.","d) os projetos de lei relativos ao orçamento anual serão apreciados unicamente pelo Senado Federal.
",'b',"a) leis de iniciativa do Poder Legislativo estabelecerão o plano plurianual.
",,"c) são vedadas emendas a projetos de lei relativos ao orçamento anual.
","b) a lei orçamentária anual compreende o orçamento fiscal, o orçamento de investimento das empresas em que a União, direta ou indiretamente, detenha a maioria do capital social e o orçamento da seguridade social.
","Acerca das regras sobre orçamento, previstas na Constituição Federal, é correto afirmar que:
"
Questão 20616.   Administração Financeira e Orçamentária - Nível Médio - ANTAQ - CESPE - 2014,,,'b',Certo,,,Errado,"Um técnico administrativo da ANTAQ, no exercício de suas atribuições, viajou por dois dias, em veículo funcional, para apoiar ação de fiscalização. Durante o percurso, o técnico pagou, com recursos próprios, R$ 80 referentes a serviços de reparos em um pneu que furou. No dia seguinte após o retorno do técnico a sua sede, o ordenador de despesas concedeu um suprimento de fundos ao funcionário, no valor da referida despesa. 
 
Considerando essa situação hipotética, julgue o item a seguir, com relação ao suprimento de fundos.

Nesse caso, o prazo de aplicação dos recursos do suprimento de fundos não pode exceder noventa dias da data da viagem, bem como o período da prestação de contas não pode ultrapassar trinta dias da data de realização das despesas."
Questão 17972.   Administração Financeira e Orçamentária - Nível Superior - Marinha do Brasil - MB - 2015,e) (V) (F) (V) (F) (V),d) (F) (V) (V) (F) (F),'c',a) (V) (V) (F) (V) (V),,c) (V) (F) (V) (V) (F),b) (V) (V) (V) (F) (F),"Coloque F (Falso) ou V (Verdadeiro) nas afirmativas abaixo, com relação ao Plano Plurianual (PPA), à Lei de Diretrizes Orçamentárias (LDO) e à Lei Orçamentária Anual (LOA), segundo Giacomoni (2012) e Piscitelli (2014), e assinale a opção correta.

( ) A Lei de Responsabilidade Fiscal ampliou o significado e a importância da LDO ao lhe atribuir a incumbência de disciplinar inúmeros temas específicos.

( ) É vedado, ao conteúdo da LDO, o estabelecimento da política de aplicação das agências financeiras oficiais de fomento.

( ) Os Planos Plurianuais substituíram os planos nacionais de desenvolvimento, e sua vigência cobrirá o período compreendido entre o início do segundo ano do mandato presidencial e o final do primeiro exercício do mandato subsequente.

( ) A iniciativa da elaboração da proposta orçamentária anual é sempre do Poder Executivo.

( ) A Constituição faz menção expressa aos planos e programas, regionais e setoriais, que serão elaborados em consonância com a LOA."
Questão 29387.   Administração Financeira e Orçamentária - Nível Superior - CODEBA - FGV - 2016,e) F  F  F.,d) F  V  F.,'c',a) V  V  V.,,c) V  F  F.,b) V  V  F.,"Em relação ao Plano Plurianual, assinale V para a afirmativa verdadeira e F para a falsa.

( ) O programa deve ser aprovado no primeiro ano do mandato presidencial, passando a vigorar a partir do ano seguinte, com vigência de quatro anos.
( ) O programa deve definir objetivos, metas e diretrizes orçamentárias, compatíveis com a Lei Orçamentária Anual e a Lei de Diretrizes Orçamentárias.
( ) O programa define a meta fiscal para cada ano, baseado no resultado nominal apurado pela Secretaria do Tesouro Nacional e pelo Banco Central.

As afirmativas são, respectivamente,"
Questão 29386.   Administração Financeira e Orçamentária - Nível Superior - CODEBA - FGV - 2016,e) a criação de cargos pelos órgãos da administração direta não precisa de prévia dotação orçamentária que atenda às projeções de despesa de pessoal.,"d) a utilização de recursos do Orçamento Fiscal e da Seguridade Social é vedada para cobrir déficit de empresas, fundações e fundos.",'c',"a) o Plano Plurianual (PPA) deve ser formulado pelo Poder Legislativo, com as devidas ressalvas do Poder Executivo.",,"c) a Comissão Mista, composta por senadores e deputados, deve examinar e emitir parecer sobre as contas anuais da Presidência da República.",b) o projeto da Lei Orçamentária é um instrumento executivo que inclui a prévia autorização para créditos suplementares ao orçamento público.,"Em relação aos orçamentos públicos, a CRFB/88 estabelece que"
Questão 40165.   Administração Financeira e Orçamentária - Nível Médio - TCE RO - CESPE - 2013,,,'a',Certo,,,Errado,"A situação líquida patrimonial de uma entidade pode aumentar ou diminuir durante o exercício financeiro. A respeito dos ingressos de recursos financeiros nos cofres do Estado, julgue os itens subsequentes.

Uma operação de crédito por antecipação de receita orçamentária (ARO) constitui em ingresso de recurso ao erário, devidamente classificado na modalidade compensatória."
Questão 32632.   Administração Financeira e Orçamentária - Nível Médio - DNIT - ESAF - 2013,e) Orçamento fiscal e orçamento de investimentos.,d) Orçamento monetário e orçamento da seguridade social.,'e',a) Orçamento de investimentos e orçamento da seguridade social.,,c) Orçamento das estatais e orçamento da seguridade social.,b) Orçamento monetário e orçamento de investimentos.,"Segundo a Constituição Federal, os orçamentos que têm entre suas funções a de reduzir as desigualdades regionais são:"
Questão 32503.   Administração Financeira e Orçamentária - Nível Médio - DEPEN - CESPE - 2015,,,'a',Certo,,,Errado,"A respeito de planejamento e avaliação, funções fundamentais em políticas públicas, julgue o item subsequente.

O processo de planejamento governamental compreende as funções de planejamento, execução e controle. "
Questão 40346.   Administração Financeira e Orçamentária - Nível Superior - TCE RJ - FEMPERJ - 2012,"e) as dotações destinadas a pagamento de bonificações e produtores de determinados gêneros ou materiais, também são consideradas subvenções sociais.","d) a concessão das subvenções sociais visará à prestação de serviços essenciais de assistência social, médica e educacional, ainda que a suplementação de recursos da iniciativa privada aplicados a esse objetivo não se revele mais econômica;",'a',"a) são denominadas subvenções econômicas as transferências que se destinam a empresas públicas e privadas de caráter comercial, industrial, agrícola ou pastoril;",,"c) subvenções sociais são aquelas destinadas a instituições públicas e privadas, de caráter assistencial ou cultural, independentemente de terem finalidade lucrativa ou não;",b) serão concedidas subvenções à instituição cujas condições de funcionamento forem julgadas insatisfatórias pelos órgãos oficiais de fiscalização;,"As subvenções correspondem às despesas referentes às transferências destinadas a cobrir despesas de custeio das entidades beneficiadas, como dispõe a Lei nº 4.320, de 17 de março de 1964. Sobre o tema, é correto afirmar que:"
Questão 37417.   Administração Financeira e Orçamentária - Nível Médio - TRT RO AC - FCC - 2016,e) esteja previsto no plano plurianual ou em lei que autorize a sua inclusão.,d) seja compatível com as metas de arrecadação e com as prioridades da administração.,'e',a) esteja previsto na Lei de Diretrizes Orçamentárias ou em lei que autorize a sua inclusão.,,c) esteja previsto no anexo de metas fiscais.,b) seja compatível com a previsão da arrecadação das receitas que os atenderá.,"Na Lei Orçamentária Anual do Estado do Rio de Pedras, para o exercício de 2016, consta dotação orçamentária para investimento no valor de R$ 23.500.000. Segundo a Lei de Responsabilidade Fiscal − LRF, a lei orçamentária não consignará dotação para investimento com duração superior a um exercício financeiro que NÃO"
Questão 32169.   Administração Financeira e Orçamentária - Nível Médio - DETRAN ES - CESPE - 2010,,,'a',Certo," Com relação a administração financeira, julgue o item subsequente.",,Errado,"Constitui investimento a aquisição pela administração pública de prédio recém- construído para servir de sede a órgão público.
"
Questão 39648.   Administração Financeira e Orçamentária - Nível Superior - TCE GO - FCC - 2014,e) o Tribunal de Contas alertará o Poder Executivo que o montante da despesa total com pessoal líquida ultrapassou o limite prudencial e máximo.,d) o Tribunal de Contas alertará o Poder Executivo que o montante da despesa total com pessoal líquida ultrapassou 60% do limite máximo.,'c',"a) a despesa total com pessoal líquida encontra-se, acima do limite máximo, portanto, se faz necessário o Tribunal de Contas promover o alerta.",,c) o Tribunal de Contas alertará o Poder Executivo que o montante da despesa total com pessoal líquida ultrapassou 90% do limite máximo.,b) o Tribunal de Contas alertará o Poder Executivo que o montante da despesa total com pessoal líquida alcançou 50% do limite máximo.,"A despesa total com pessoal líquida do Poder Executivo de determinado Estado, ao final do 2º quadrimestre de 2014, era de R$ 1.180.000,00. Considerando que o valor total das receitas correntes líquidas, para efeito de apuração dos limites estabelecidos na Lei Complementar nº 101/2000, era de R$ 2.500.000,00, é correto afirmar que"
Questão 31440.   Administração Financeira e Orçamentária - Nível Médio - CREMERJ - FDC - 2011,e) Origem,d) Espécie,'d',a) Categoria econômica,,c) Rubrica,b) Subfonte,"De acordo com as normas vigentes adotadas por todos os entes federativos, o terceiro nível da classificação orçamentária das receitas identifica a:"
Questão 17827.   Administração Financeira e Orçamentária - Nível Superior - Marinha do Brasil - MB - 2014,"e) o projeto de lei do PPA será encaminhado, pelo Poder Le­gislativo, ao Congresso Nacional até quatro meses antes do encerramento do exercício - 31 de agosto - e devol­vido para sanção até o encerramento da sessão legisla­tiva - 22 de dezembro.","d) nas despesas decorrentes das despesas de capital, autên­tica novidade é a exigência de que os encargos decorren­tes das despesas de capital integrem a LDO.",'a',"a) a lei que instituir o Plano Plurianual estabelecerá, de forma regionalizada, as diretrizes, objetivos e metas da administração pública federal, para as despesas de capi­tal e outras delas decorrentes e para os programas de duração continuada.",,"c) o orçamento anual constitui-se em instrumento, de médio prazo, que operacionaliza os programas setoriais e re­gionais de curto prazo, os quais, por sua vez, cumprem o marco fixado pelos planos nacionais.","b) o Plano Plurianual passa a se constituir na síntese dos esforços de planejamento de toda a administração indi­reta, orientando a elaboração da Lei de Diretrizes Orça­mentárias.","Segundo Giacomoni (2012), em relação à elaboração da Propos­ta Orçamentária, é correto afirmar que:"
Questão 37421.   Administração Financeira e Orçamentária - Nível Médio - TRT RO AC - FCC - 2016,e) capital.,d) extraorçamentário.,'b',a) especial.,,c) extraordinário.,b) suplementar.,"Determinado ente público pretende abrir crédito adicional para reforçar o saldo da dotação orçamentária destinada a aquisição de computadores. Segundo a Lei Federal n° 4.320/1964, o crédito adicional a ser aberto é classificado como"
Questão 34773.   Administração Financeira e Orçamentária - Nível Superior - TRF RJ - FCC - 2012,"e) II e III, apenas.","d) I, II e IV, apenas.",'a',"a) I, II, III e I",,"c) III e IV, apenas.","b) I, II e III, apenas.","A receita pública:

I. classifica-se em orçamentária e extraorçamentária.
II. orçamentária classifica-se nas categorias econômicas denominadas receitas correntes e receitas de capital.
III. classificada como transferência corrente é oriunda de recursos financeiros recebidos de outras entidades de direito público ou privado e destinados ao atendimento de gastos, classificáveis em despesas correntes.
IV. de contribuições é também uma fonte das receitas correntes, destinada a arrecadar receitas relativas a contribuições sociais e econômicas, destinadas à manutenção dos programas e serviços sociais e de interesse coletivo.

É correto o que consta em"
Questão 9937.   Administração Financeira e Orçamentária - Nível Superior - TRE MG - CONSULPLAN - 2013,"e) A elaboração da proposta ou projeto da Lei Orçamentária Anual (LOA) é de iniciativa exclusiva do Chefe do Poder Executivo. Cabe ao Poder Público fazer ou deixar de fazer somente aquilo que a lei expressamente autorizar, ou seja, se subordina aos ditames da lei. A aprovação do projeto de orçamento ocorre quando convertido em lei, em cumprimento ao princípio da legalidade aplicado à Administração Pública, segundo o qual a Constituição Federal de 1988, no seu Art. 165, estabelece a necessidade de formalização legal das leis orçamentárias.","d) As disposições contidas nos artigos 48, 48-A e 49 da Lei de Responsabilidade Fiscal (LRF), que determinam ao governo, por exemplo: divulgar o orçamento público de forma ampla à sociedade; publicar relatórios sobre a execução orçamentária e a gestão fiscal; disponibilizar, para qualquer pessoa, informações sobre a arrecadação da receita e a execução da despesa, as quais expressam o mesmo que o princípio orçamentário da transparência.
",'b',"a) A Lei Orçamentária Anual de cada ente federado deverá conter todas as receitas e despesas de todos os poderes, órgãos, entidades, fundos e fundações instituídas e mantidas pelo poder público em cumprimento ao estabelecido de forma expressa na legislação.
",,"c) Na elaboração e execução do orçamento público consi- dera-se o exercício financeiro orçamentário: período de tempo ao qual a previsão das receitas e a fixação das despesas registradas na Lei Orçamentária Anual (LOA) irão se referir. No caso brasileiro, o exercício financeiro coincidirá com o ano civil e, por isso, será de 1º de janeiro até 31 de dezembro de cada ano, em atendimento ao princípio da anualidade e da periodicidade.","b) O princípio da unidade ou totalidade expressa que todas as receitas previstas e despesas fixadas, em cada exercício financeiro, devem integrar um único documento legal dentro de cada esfera federativa: a Lei Orçamentária Anual (LOA), exclusivamente, para os Orçamentos Fiscal e da Seguridade Social, não se aplicando ao Orçamento de Investimento das Empresas Estatais.
","Os Princípios Orçamentários visam estabelecer regras norteadoras básicas, a fim de conferir racionalidade, eficiência e transparência para os processos de elaboração, execução e controle do Orçamento Público. Válidos para os Poderes Executivo, Legislativo e Judiciário de todos os entes federativos  União, Estados, Distrito Federal e Municípios  são estabelecidos e disciplinados por normas constitucionais, infraconstitucionais e pela doutrina. Sobre os Princípios Orçamentários, assinale a afirmativa INCORRETA.
"
Questão 34775.   Administração Financeira e Orçamentária - Nível Superior - TRF RJ - FCC - 2012,"e) o ato emanado de autoridade competente que cria para o Estado obrigação de pagamento, pendente ou não, de implemento de condição.",d) por estimativa quando utilizado para as despesas normais que não tenham nenhuma característica especial.,'e',"a) um valor deduzido da dotação orçamentária, podendo exceder o limite de crédito concedido.",,c) global nos casos em que não se possa determinar o montante da despesa.,b) ordinário quando utilizado para os casos de despesas contratuais e outras sujeitas a parcelamento.,Empenho é
Questão 17823.   Administração Financeira e Orçamentária - Nível Superior - Marinha do Brasil - MB - 2014,e) Juros Médios.,d) Pagamento no Final.,'b',a) Prestações Iguais - Modelo PRICE.,,c) Pagamento Periódico de Juros.,b) Sistemas de Amortizações Constantes - SAC.,"Os Planos Equivalentes de Financiamento são utilizados para amortizar um financiamento. Assinale a opção que apresenta o plano em que o financiamento é liquidado mediante o pagamen­to de prestações linearmente decrescentes, subdivididas em amortização do principal e juros do ano."
Questão 39299.   Administração Financeira e Orçamentária - Nível Superior - TCE SC - CESPE - 2016,,,'b',Certo,,,Errado,"De acordo com a Lei de Responsabilidade Fiscal e com a Lei de Acesso à Informação, julgue o seguinte item.

Os contratos de terceirização de mão de obra integram o limite de despesas de pessoal, independentemente do tipo de serviço que estiver sendo terceirizado."
Questão 23050.   Administração Financeira e Orçamentária - Nível Superior - CADE - CESPE - 2014,,,'b',Certo," Com referência ao processo de orçamentação público no Brasil, incluindo classificações e conceitos técnicos, bem como o acompanhamento da execução e a descentralização financeira,",,Errado,"Caso determinado órgão do Poder Judiciário não tenha promovido a limitação de empenho de suas dotações orçamentárias no prazo e nas condições estipuladas pela legislação, o Poder Executivo poderá limitar os valores financeiros segundo seus próprios critérios.
"
Questão 11510.   Administração Financeira e Orçamentária - Nível Médio - MAPA - CONSULPLAN - 2014,,d) despesa de capital e despesa de capital.,'b',"a) despesa corrente e despesa corrente
",,"c) despesa de capital e despesa corrente.
","b) despesa corrente e despesa de capital.
","A categoria econômica dos elementos de despesas diárias civil e de aquisição de imóveis são, respectivamente,"
Questão 32633.   Administração Financeira e Orçamentária - Nível Médio - DNIT - ESAF - 2013,e) os órgãos e entidades que fizerem as retenções devem fornecer aos beneficiários pelos pagamentos o comprovante anual de retenção até o fim do mês de fevereiro do ano subsequente.,"d) as retenções se referem a imposto sobre a renda, contribuição social sobre o lucro líquido, Contribuição para Seguridade Social - COFINS e contribuição para o PIS/PASEP.",'c',a) as empresas optantes pelo regime de tributação denominado simples nacional estão isentas da retenção no que se refere às receitas próprias.,,"c) sindicatos, federações e confederações de empregados estão isentos da retenção do Imposto de Renda, mas não das contribuições.",b) a obrigação por efetuar a retenção recai sobre os órgãos ou entidades que efetuarem o pagamento às pessoas jurídicas.,"A respeito das retenções tributárias em pagamentos a fornecedores de bens e serviços de que tratam a Lei n. 9.430/96 e a Instrução Normativa SRF 1.234/2012, é correto afirmar, exceto:"
Questão 13263.   Administração Financeira e Orçamentária - Nível Superior - SUSAM - FGV - 2014,e) da Comissão mista dos poderes Executivo e Legislativo.,d) do Ministério Público,'a',a) do Poder Executivo.,,c) do Poder Judiciário.,b) do Poder Legislativo.,"Em  relação  ao  processo  orçamentário,  a  competência  para  a  iniciativa de apresentação do projeto de  lei orçamentária de um  Estado é atribuição exclusiva"
Questão 32497.   Administração Financeira e Orçamentária - Nível Médio - DEPEN - CESPE - 2015,,,'b',Certo,,,Errado,"Acerca das noções básicas de orçamento público e de administração financeira e orçamentária, julgue o item a seguir.

O orçamento tradicional, cuja principal função é servir de instrumento de administração, é fundamental para disciplinar as finanças públicas, manter o equilíbrio financeiro e evitar a expansão dos gastos. "
Questão 13127.   Administração Financeira e Orçamentária - Nível Superior - Câmara de Rio de Janeiro RJ - FJG - 2014,,d) contratar operações de crédito para refinanciar a dívida mobiliária,'d',a) contratar operações de crédito para abertura de crédito adicional suplementar,,c) obter garantia direta ou indireta de outro ente federativo,b) receber transferências voluntárias da União,"Em abril de 2013, verificou-se que um determinado município tinha ultrapassado o seu limite com despesa total com pessoal, sem conseguir eliminar a parcela excedente até o final do exercício financeiro. Nesse caso, conforme a legislação vigente, o município sofrerá algumas sanções. Entre essas sanções, NÃO se inclui:"
