questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 13315.   Administração - Nível Superior - SUFRAMA - CESPE - 2014,,,'b',Certo,,,Errado,"Acerca das funções e do processo da administração, julgue os itens de 58 a 64

Em uma organização que estabeleça os padrões esperados de desempenho, monitore os diversos tipos de desempenho, avalie os resultados e adote ações corretivas, pode ser observada a ocorrência da função de controle por meio de um modelo restritivo-coercitivo de gestão com padrões pré-definidos."
Questão 29224.   Administração - Nível Médio - CODEBA - FGV - 2016,"e) Intermediário, tático e gerencial.","d) Logístico, tecnológico e estratégico.",'b',"a) Executivo, estratégico e tático.",,"c) Tático, operacional e logístico.","b) Estratégicos, táticos e operacionais.","O planejamento formal nas organizações prevê a formulação de objetivos que especifiquem os estágios a serem atingidos. Definidos a partir da visão e da missão da organização, os objetivos podem ser classificados de acordo com os níveis organizacionais aos quais estão relacionados.

Assinale a opção em que esses níveis estão listados corretamente."
Questão 30797.   Administração - Nível Médio - CRC MG - IADES - 2015,"e) têm uma tolerância muito maior à ambiguidade, buscando, assim, muito mais informações e alternativas. Os dirigentes com esse estilo são mais bem caracterizados como tomadores de decisão precipitados, dotados da capacidade de desadaptar-se ou de lidar com situações recorrentes.","d) tendem a ter uma perspectiva muito ampla e a considerar muitas alternativas. O enfoque delas é de longo alcance, e são excelentes para encontrar soluções criativas para os problemas.",'a',"a) possuem uma tolerância muito maior à ambiguidade, buscando, assim, muito mais informações e alternativas. Os dirigentes com esse estilo são mais bem caracterizados como tomadores de decisão, cautelosos, dotados da capacidade de adaptar-se ou de lidar com situações novas.",,c) são as tomadoras de decisão que trabalham bem em grupo. Preocupam-se com as realizações dos respectivos pares e subordinados. São receptivas a sugestões dos demais e recorrem bastante a reuniões para comunicação. Elas tentam evitar conflitos e buscam aceitação.,"b) apresentam baixa tolerância à ambiguidade e buscam racionalidade. São eficientes e lógicas, porém as preocupações com eficiência fazem com que elas tomem as próprias decisões, utilizando informações mínimas e avaliando poucas alternativas.","A arte de tomar decisões é fundamental na área da administração das organizações. Tomar decisões é identificar e selecionar um curso de ação para lidar com um problema específico ou extrair vantagens em uma oportunidade.

CHIAVENATO, Idalberto. Administração nos novos tempos. Rio de Janeiro: 2004.

Os modelos de estilos de tomada de decisão que diferem uma pessoa da outra são o diretivo, o analítico, o conceitual e o comportamental. Em relação ao estilo analítico, é correto afirmar que pessoas com esse estilo"
Questão 11050.   Administração - Nível Médio - SEAP DF - IADES - 2014,e) por funções.,d) mista.,'e',a) por território.,,c) matricial.,"b) por cliente.
","Durante o processo de reorganização do órgão, os responsáveis propuseram que a departamentalização levasse em consideração as atividades executadas, de forma que houvesse a criação de uma unidade organizacional. Assim, seria possível uma maior especialização nas atividades e um maior controle a respeito das tarefas executadas. Dessa forma, chegou-se aos departamentos de gestão de pessoas, de administração e de tecnologia da informação. Considerando esse tema e conceitos de departamentalização, é correto afirmar que o texto apresenta características da departamentalização"
Questão 9648.   Administração - Nível Médio - ABIN - CESPE - 2010,,,'a',Certo,,,Errado,"Julgue os itens subsequentes, acerca de delegação de autoridade.

A descentralização atinge, geralmente, diversos níveis hierárquicos, ao passo que a delegação restringe-se a um único nível."
Questão 10376.   Administração - Nível Superior - INSS - FUNRIO - 2014,e) K. Ishikawa.,"d) Philip B. Crosby;
",'a',"a) Joseph M. Juran;
",,"c) Armand V. Feigenbaum;
","b) W. Edwards Deming;
","Qualidade total assenta-se sobre duas premissas importantes: conscientização e planejamento. A conscientização é o caminho para resultados e o planejamento é estabelecer metas específicas a serem atingidas; estabelecer planos para atingir tais metas; atribuir responsabilidades definidas a fim de obter resultados e recompensar com base em resultados obtidos. Adicionalmente, existem duas vertentes críticas no processo de planejamento (ARAUJO, 2001. p. 119). Quem é o autor dessa afirmação?"
Questão 29910.   Administração - Nível Médio - CONAB - IADES - 2014,"e) valioso, raro, de difícil imitação e explorável pela organização.","d) vantajoso, regular, ideal e oportuno.",'e',"a) válido, repetido, insignificante e operacionalizável.",,"c) vultoso, relevante, inexplorável e ordinário.","b) vasto, íntegro, requintado e opulento.","Uma das abordagens mais utilizadas para compreender a competitividade das organizações é a visão baseada em recursos. O modelo VRIO, dela derivado, estabelece que, para gerar vantagem competitiva, um recurso deve ser"
Questão 15923.   Administração - Nível Médio - CELG GT GO - CS-UFG - 2014,e) alto índice de incerteza - baixa previsão.,d) baixo índice de incerteza - média previsão.,'e',a) baixo índice de incerteza - alta previsão,,c) alto índice de incerteza - alta previsão.,b) médio índice de incerteza - baixa previsão.,"Para realizar um planejamento é necessário conhecer o ambiente organizacional, que pode ser simples ou complexo. Quando existem muitos fatores influenciadores e ocorre a escassez de recursos, as decisões pos­suem:"
Questão 28579.   Administração - Nível Superior - Prefeitura de Barbacena MG - FCM - 2016,,d) comunicação.,'a',a) valores.,,c) benefícios.,b) pessoas.,"A importância relativa a dimensões, como liberdade, prazer, autorrespeito, honestidade, obediência e justiça, de acordo com Robbins (2009), é atribuída ao sistema de"
Questão 21842.   Administração - Nível Médio - BR Distribuidora - CESGRANRIO - 2013,e) rapidez,d) precisão,'a',a) aceitação,,c) objetividade,b) economia,"Um sistema de fiscalização de contratos de serviços não vem atendendo plenamente ao seu papel de controlar a execução dos acordos no nível de serviço. Isto se deve ao fato de que as áreas atendidas pela empresa contratada, que deveriam fiscalizar a execução dos critérios contratuais, não percebem o preenchimento dos documentos de controle como um processo importante do seu trabalho e tornam-se resistentes à tal participação.

O problema no controle do serviço está relacionado a"
Questão 26041.   Administração - Nível Superior - CNPQ - CESPE - 2011,,,'a',Certo,,,Errado,"Julgue os próximos itens, relativos à prospecção em ciência, tecnologia e inovação.

A análise prospectiva na referida área possibilita que se conheçam fatores que desencadeiam o seu processo de evolução, promovem as transformações e focalizam as mudanças, por meio da identificação e da avaliação de cenários, macroambientes e possibilidades futuras, bem como da oferta de importantes subsídios para tomadas de decisão."
Questão 6527.   Administração - Nível Médio - ANVISA - CETRO - 2013,e) conceituação.,d) fluxograma.,'a',a) organização.,,c) departamentalização.,b) projeto.,"Ao conjunto de pessoas que atuam juntas em uma criteriosa divisão de trabalho para alcançar um propósito comum, dá- se o nome de"
Questão 9431.   Administração - Nível Médio - ANTAQ - CESPE - 2009,,,'a',Certo,,,Errado,"Julgue os itens a seguir relativos à evolução do transporte aquaviário, à legislação marítima e a movimentação de carga.

O porto concentrador (hub port) atende ao sistema de navegação de longo curso ao mesmo tempo que recebe e distribui cargas para portos de menor movimentação. O porto é identificado como concentrador em razão da sua localização geográfica privilegiada, profundidade de suas águas, baixas tarifas, facilidades de movimentação de carga e intercâmbio com outros portos."
Questão 13336.   Administração - Nível Superior - SUFRAMA - CESPE - 2014,,,'a',Certo,,,Errado,"Com base em gestão da qualidade, julgue os itens seguintes.

As organizações públicas devem colocar à disposição do cidadão todas as informações relacionadas aos serviços por elas prestados para que os princípios da informação e da transparência sejam preservados na qualidade da gestão dos serviços públicos."
Questão 13332.   Administração - Nível Superior - SUFRAMA - CESPE - 2014,,,'b',Certo,,,Errado,"Com relação a aspectos de liderança e motivação nas organizações, julgue os próximos itens.

Segundo a teoria da expectativa, se uma pessoa acredita ser capaz de concluir uma tarefa com êxito, isso a torna mais motivada para o trabalho"
Questão 29226.   Administração - Nível Médio - CODEBA - FGV - 2016,e) Corrige os problemas depois que ocorrem e tem foco nos insumos.,d) Corrige os problemas à medida que ocorrem e tem foco nos resultados,'b',a) Corrige os problemas depois que ocorrem e tem foco nos resultados.,,c) Corrige os problemas à medida que ocorrem e tem foco nos insumos.,b) Corrige os problemas à medida que ocorrem e tem foco nos processos.,"Controle é a geração e o uso de informações relativas às atividades organizacionais. Existem diversos tipos de controle, classificados por sincronismo temporal. Cada tipo de controle apresenta funções e características únicas.

Assinale a opção que apresenta o conjunto de características ligadas ao controle do tipo simultâneo."
Questão 38949.   Administração - Nível Médio - IF SP - FUNDEP - 2014,,"d) A comunicação vertical, cujo fluxo de informações ocorre por meio da cadeia de comando, pode ser descendente ou ascendente.",'b',"a) Todas as funções de uma instituição envolvem comunicação que é imprescindível para compartilhar estratégias, objetivos e valores que representam o coração da cultura de uma instituição.",,"c) A comunicação é um processo de elaborar, transmitir e garantir o entendimento de mensagens.",b) A comunicação vertical acontece quando o titular do departamento de marketing se comunica com o titular do departamento de produção.,"Sobre a comunicação, assinale a alternativa INCORRETA."
Questão 24349.   Administração - Nível Superior - CGM RJ - BD - 2015,,"d) institucional, tático",'a',"a) institucional, estratégico",,"c) intermediário, estratégico","b) operacional, tático","O nível da empresa e o tipo de planejamento envolvidos quando se deseja projetar ações de longo prazo voltadas para seu ambiente de tarefa, com elevado grau de incertezas e abrangendo a organização como um todo é, respectivamente:"
Questão 27777.   Administração - Nível Médio - Câmara de Jaboticabal SP - VUNESP - 2015,e) seleção.,d) desenvolvimento.,'e',a) avaliação.,,c) previsão.,b) recrutamento.,"Entre as funções gerais que permitem o suprimento ou a provisão de pessoas para a organização, há uma que representa a opção por indivíduos que melhor se adaptem a um determinado posto, que é a função de"
Questão 20231.   Administração - Nível Médio - ANS - CESPE - 2013,,,'b',Certo,,,Errado,"Julgue os itens a seguir, relativos a administração e gestão de pessoas nas organizações.

Ao se certificar de que a organização está seguindo o rumo de seus objetivos, o gestor pode planejar e organizar os recursos para alcance da estratégia organizacional."
Questão 28079.   Administração - Nível Médio - Câmara de Recife PE - FGV - 2014,e) orçamento base zero.,d) fluxo de caixa;,'c',a) kanban;,,c) PERT/CPM;,b) orçamento operacional;,"Um gerente de operações precisa planejar e programar a sequência de atividades necessárias para a implantação do projeto de construção de uma nova fábrica.

Para isso, o gerente pode utilizar, como ferramenta de programação:"
Questão 13303.   Administração - Nível Superior - FUNARTE - FGV - 2014,e) diferenciação por customização do produto.,d) liderança no nicho do setor relativo;,'b',a) diferenciação no nicho;,,c) foco no cliente;,b) liderança no custo total na indústria;,"O modelo de estratégias genéricas proposto por Michael Porter permite identificar duas vantagens competitivas para a empresa, que podem ser desdobradas segundo um escopo amplo ou focado. Usando esse modelo para analisar um evento histórico, o desenvolvimento da linha de montagem por Henry Ford, é possível relacionar o uso dessa linha de montagem com empresas que buscam posicionar-se estrategicamente por:"
Questão 24110.   Administração - Nível Médio - CFQ - QUADRIX - 2012,e) Todas afirmações são ERRADAS.,d) Apenas três afirmações são CERTAS.,'e',a) Todas afirmações são CERTAS.,,c) Apenas duas afirmações são CERTAS.,b) Apenas uma afirmação é CERTA.,"A ética deve pautar a conduta do profissional em qualquer área. Sobre o tema, analise as afirmações a seguir e marque C (CERTA) e E (ERRADA).

( ) Só pode existir base para uma conduta ética se houver um código formalmente constituído.
( ) Quebrar o sigilo profissional é considerado antiético somente porque é um procedimento ilegal.
( ) Haverá prática de atitude não ética de um Químico somente quando esta for detectada e houver condenação do profissional por seu órgão de classe.
( ) Caso haja formação de comissão de ética para julgar um profissional, este deve fazer parte do colegiado e ter direito a voto ou ser relator do processo.

Assinale a alternativa correta"
Questão 33664.   Administração - Nível Médio - DPE PR - PUC-PR - 2012,e) Direção.,d) Liderança.,'a',a) Controle.,,c) Organização.,b) Planejamento.,"Gestores da organização Beta estão preocupados com as situações comentadas em reunião: os relatórios administrativos apontam para informações que não convergem; não conseguimos concluir quais departamentos são mais eficientes por não estabelecermos padrões de desempenho.

Assinale a alternativa que corresponde à função de administração melhor relacionada ao texto:"
Questão 32334.   Administração - Nível Superior - DAE de São Caetano do Sul SP - CAIPIMES - 2015,,d) III  I  II.,'c',a) I  II  III.,,c) II  III  I.,b) I  III  II.,"Relacione a habilidade gerencial com sua respectiva definição e assinale a alternativa correta.

I- Habilidades Técnicas.
II- Habilidades Conceituais.
III- Habilidades Humanas.

( ) Consistem na capacidade de utilizar ideias, teorias e abstrações como guia orientadores da ação administrativa.
( ) Consistem da capacidade e no discernimento para trabalhar com pessoas, comunicar, compreender suas atitudes e motivações e aplicar liderança eficaz.
( ) Consistem em saber utilizar métodos e equipamentos necessários para realizar tarefas especificas relacionadas com a execução do trabalho."
Questão 12836.   Administração - Nível Superior - Polícia Federal - CESPE - 2013,,,'b',Certo,,,Errado,"A respeito da evolução da administração pública, julgue os itens seguintes.

A partir da teoria da administração científica, o papel da organização informal passou a ser reconhecido nas teorias clássicas da administração."
