questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 15480.   Agronomia - Nível Superior - MPE ES - VUNESP - 2013,"e) palmeira-real, babaçu, palmito-juçara.","d) tamareira, palmeira-azul, carnaúba.",'a',"a) babaçu, buriti, carnaúba.",,"c) palmeira-azul, palmito-juçara, jerivá.","b) licuala, buriti, jerivá.",São consideradas palmeiras nativas do Brasil:
Questão 15182.   Agronomia - Nível Superior - MDA - FUNCAB - 2014,e) Sul.,d) Norte.,'b',a) Centro-Oeste.,,c) Sudeste.,b) Nordeste,"Em se tratando dos aspectos sociais relacionados à cultura da mandioca, os dados do IBGE de 2013 destacam a grande participação da agricultura familiar. Considerando um extrato de área total com cultivo anual menor que 5 ha, a região brasileira que apresenta maior número de agricultores é a:"
Questão 15178.   Agronomia - Nível Superior - MDA - FUNCAB - 2014,e) semiárido.,d) equatorial.,'e',a) tropical de altitude.,,c) subtropical.,b) tropical Atlântico.,"Considerando o regime de chuvas predominante nas diferentes regiões do Brasil, a presença de águas superficiais e subterrâneas classificadas como salinas ocorre, mais comumente, na seguinte zona climática:"
Questão 15476.   Agronomia - Nível Superior - MPE ES - VUNESP - 2013,"e) 1 223,52 m","d) 1 176,00 m",'b',"a) 1 152,48 m",,"c) 1 224,00 m","b) 1 248,48 m","Em um terreno, foi locado um galpão retangular com dimensões iguais a 20 m e 60 m. Entretanto, constatou-se que o trabalho foi realizado com uma trena apresentando 5,10 m, quando na verdade deveria apresentar 5,0 m. Considerando isso, assinale a alternativa que mostra o valor real da área apresentada por este galpão."
Questão 15557.   Agronomia - Nível Superior - Petrobrás - CESGRANRIO - 2012,"e) os efeitos da calagem só ocorrem em profundidade após o pH na zona de dissolução do calcário ter atingido valores acima de 6,5.","d) o alumínio (Al), em especial, além da paralisação do crescimento, causa engrossamento das raízes, o que, por sua vez, altera a absorção e a utilização de nutrientes, especialmente o fósforo (P), de forma positiva.",'a',a) uma das hipóteses das causas que promovem a migração dos agentes de neutralização da acidez no perfil do solo é que as partículas de calcário migram via canais e bioporos no perfil.,,c) a neutralização da acidez pelo uso de calagem superficial garante o aprofundamento das raízes em subsuperfície.,"b) a eficiência da calagem é determinada pela forma de aplicação, pelo tempo de manutenção do efeito na camada neutralizada e pelo volume de solo corrigido.","Em regiões tropicais, especialmente onde há ocorrências de veranicos, além dos problemas na superfície, a acidez de subsuperfície tem sido apontada como uma das principais causas de limitação à produtividade agrícola, dada a ação deletéria sobre o crescimento de raízes.

Em relação ao efeito da acidez nos solos"
Questão 15479.   Agronomia - Nível Superior - MPE ES - VUNESP - 2013,e) clerodendro (,d) lágrima-de-cristo (,'b',a) pingo-de-ouro (,,c) maravilha (,b) tumbérgia-azul (,"As trepadeiras têm como desvantagem a agressividade de algumas espécies, que podem ter crescimento desordenado, dando trabalho para controlar seu desenvolvimento e mantê-las no local planejado. Dentre as espécies seguintes, está nessa classificação:"
Questão 15143.   Agronomia - Nível Superior - Prefeitura de Paulista PE - UPENET - 2014,e) 9,d) 5,'b',a) 10,,c) 3,b) 6,"A utilização da cartografia pelo homem é muito antiga. Dos primeiros mapas conhecidos que eram bastante rudimentares até chegarmos ao Google Earth e ao GPS, muita coisa mudou. A tecnologia alterou processos e métodos utilizados para a elaboração de cartas e mapas. Nesse contexto, identifique as afirmativas CORRETAS e dê sua soma ao final.

(01) O avanço das tecnologias: sensoriamento remoto, radares, fotos aéreas, dentre outras, permitiu que os mapas ficassem cada vez mais precisos, trazendo uma nova dimensão à cartografia.

(02) Apesar de todas as inovações tecnológicas aplicadas à cartografia, vale destacar que não existe uma representação perfeita, que traduza fielmente o real. Toda representação em duas dimensões apresenta problemas técnicos, como distorção da área cartografada.

(03) A projeção de Peters, elaborada pelo professor alemão Arno Peters no século XX (1973), por manter a proporcionalidade das áreas, passa, segundo alguns analistas, uma ideia de igualdade, valorizando as nações pobres e quebrando a visão de superioridade das nações ricas.

(04) A projeção de Mercator valorizou as terras do continente europeu no momento da expansão mercantil e colonial europeia e, durante alguns séculos, serviu à visão da Europa como centro do mundo ou ao eurocentrismo. Por não apresentar distorções nas áreas, a projeção Mercator é a que representa fielmente o real."
Questão 15145.   Agronomia - Nível Superior - Prefeitura de Paulista PE - UPENET - 2014,e) 20,d) 14,'a',a) 16,,c) 12,b) 10,"Sobre os parâmetros de qualidade da água, identifique as afirmativas CORRETAS e dê sua soma ao final.

(02) No valor da cor aparente, pode estar incluída uma parcela devido à turbidez da água. Quando esta é removida por centrifugação, obtém-se a cor verdadeira.

(04) A alcalinidade é a capacidade da água em resistir às mudanças de pH causadas pelas bases. Ela decorre, principalmente, da presença de gás carbônico livre.

(06) No meio aquático, o nitrogênio pode ser encontrado nas seguintes formas: nitrogênio molecular, escapando para a atmosfera, nitrogênio orgânico (dissolvido e em suspensão), amônia (livre NH3 e ionizada NH4+ ), nitrito e nitrato.

(08) Uma grande parte dos micropoluentes inorgânicos, que se dissolvem na água, são tóxicos. Entre estes, possuem especial destaque os metais, como arsênio, cádmio, cromo, chumbo, mercúrio e prata."
Questão 15176.   Agronomia - Nível Superior - MDA - FUNCAB - 2014,e) formação de nuvens cumuliformes.,d) massa de ar quente estacionada.,'b',a) passagemde frente fria.,,c) concentração de nevoeiro.,b) limitação física do relevo.,As chuvas denominadas orográficas são aquelas que ocorrem por interferência direta de:
Questão 15174.   Agronomia - Nível Superior - MDA - FUNCAB - 2014,e) luvissolos.,d) gleissolos.,'d',a) neossolos.,,c) argissolos.,b) latossolos.,"Segundo o atual Sistema Brasileiro de Classificação de Solos, aqueles que resultam de processos de intensa redução de compostos de ferro em presença de matéria orgânica, com ou sem alternância de oxidação, devido ao efeito de flutuação de nível do lençol freático, em regime de excesso de umidade permanente ou periódica, denominam-se:"
Questão 15477.   Agronomia - Nível Superior - MPE ES - VUNESP - 2013,e) nível digital.,d) estação total,'d',a) teodolito.,,c) trena eletrônica.,b) distanciômetro.,"O equipamento capaz de medir ângulos horizontais e verticais, distâncias horizontais, verticais e inclinadas, além de processar e mostrar condições do nivelamento do aparelho, número do ponto medido, coordenadas UTM ou geográficas e a altitude do ponto, a altura do aparelho, a altura do bastão é conhecido como"
Questão 15174.   Agronomia - Nível Superior - MDA - FUNCAB - 2014,e) luvissolos.,d) gleissolos.,'d',a) neossolos.,,c) argissolos.,b) latossolos.,"Segundo o atual Sistema Brasileiro de Classificação de Solos, aqueles que resultam de processos de intensa redução de compostos de ferro em presença de matéria orgânica, com ou sem alternância de oxidação, devido ao efeito de flutuação de nível do lençol freático, em regime de excesso de umidade permanente ou periódica, denominam-se:"
Questão 15478.   Agronomia - Nível Superior - MPE ES - VUNESP - 2013,"e) 287,10 m e 26,39 m","d) 234,56 m e 28,34 m.",'e',"a) 215,60 m e 24,32 m.",,"c) 192,45 m e 30,24 m","b) 189,42 m e 32,50 m.","Um teodolito acha-se estacionado no Ponto 1, com altitude igual a 100 m. Deste ponto, faz-se uma visada ascendente para um Ponto 2, obtendo-se as seguintes leituras: retículo superior = 3 200 mm; retículo inferior = 300 mm; altura do aparelho = 1,75 m.

Assinale a alternativa que apresenta os valores da distância horizontal e da diferença de nível entre os pontos, respectivamente.

(Dados: sen α = 0,09; cos2 α = 0,99 e sen2 α = 0,182)"
Questão 15180.   Agronomia - Nível Superior - MDA - FUNCAB - 2014,e) reflorestamentos ciliares.,d) controle das queimadas.,'d',a) culturas em faixas.,,c) alternâncias de capinas.,b) plantios em contorno.,"Considerando as diferentes práticas conservacionistas e de manejo do solo, aquela que se classifica como edáfica é conhecida como:"
Questão 15557.   Agronomia - Nível Superior - Petrobrás - CESGRANRIO - 2012,"e) os efeitos da calagem só ocorrem em profundidade após o pH na zona de dissolução do calcário ter atingido valores acima de 6,5.","d) o alumínio (Al), em especial, além da paralisação do crescimento, causa engrossamento das raízes, o que, por sua vez, altera a absorção e a utilização de nutrientes, especialmente o fósforo (P), de forma positiva.",'a',a) uma das hipóteses das causas que promovem a migração dos agentes de neutralização da acidez no perfil do solo é que as partículas de calcário migram via canais e bioporos no perfil.,,c) a neutralização da acidez pelo uso de calagem superficial garante o aprofundamento das raízes em subsuperfície.,"b) a eficiência da calagem é determinada pela forma de aplicação, pelo tempo de manutenção do efeito na camada neutralizada e pelo volume de solo corrigido.","Em regiões tropicais, especialmente onde há ocorrências de veranicos, além dos problemas na superfície, a acidez de subsuperfície tem sido apontada como uma das principais causas de limitação à produtividade agrícola, dada a ação deletéria sobre o crescimento de raízes.

Em relação ao efeito da acidez nos solos"
Questão 15174.   Agronomia - Nível Superior - MDA - FUNCAB - 2014,e) luvissolos.,d) gleissolos.,'d',a) neossolos.,,c) argissolos.,b) latossolos.,"Segundo o atual Sistema Brasileiro de Classificação de Solos, aqueles que resultam de processos de intensa redução de compostos de ferro em presença de matéria orgânica, com ou sem alternância de oxidação, devido ao efeito de flutuação de nível do lençol freático, em regime de excesso de umidade permanente ou periódica, denominam-se:"
