questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 22202.   Arquivologia - Nível Médio - BRDE - FUNDATEC - 2015,e) na ordenação  classificação,d) na autenticação  averbação,'e',a) no trâmite  expedição,,c) na avaliação  destinação,b) no descarte  eliminação,"Arranjo é o processo que, na organização de arquivos permanentes, consiste ______________ de documentos. De acordo com a terminologia sobre arquivos, arranjo é o termo equivalente a _______________.

Assinale a alternativa que preenche, correta e respectivamente, as lacunas do trecho acima."
Questão 14774.   Arquivologia - Nível Superior - UFRJ - PR-4 - 2012,e) normalização gramatical; opções de grafa; alterações nos nomes de pessoas ou título atribuído; elaboração de listas em ordem alfabética; adoção de termos compostos; e introdução de notas de conservação e notas de uso.,d) uniformização gramatical; opções de grafa; alterações nos nomes de pessoas ou do titular da coleção; controle de sinonímia e quase-sinonímia; adoção de termos simples; e introdução de notas de conservação e notas de uso;,'b',a) padronização gramatical; opções de grafa; alterações nos nomes de pessoas físicas ou jurídicas; elaboração de listas em ordem alfabética; adoção de termos compostos; e introdução de notas de escopo e notas de uso;,,c) normalização gramatical; opções de grafa; alterações nos nomes de pessoas ou nomes dos progenitores; controle de sinonímia e quase-sinonímia; adoção de termos em língua morta; e introdução de notas de escopo e notas de uso;,"b) normalização gramatical; opções de grafa; alterações nos nomes de pessoas ou topônimos; controle de sinonímia, homonímia e quase-sinonímia; adoção de termos compostos; e introdução de notas de escopo e notas de uso;","Johanna Smit e Nair Kobashi em seu livro Como elaborar vocabulário controlado para aplicação em arquivos, publicado em 2003, identificam seis aspectos pertinentes aos procedimentos micro de controle de vocabulário. Assinale a opção que apresenta TODOS os seis aspectos mencionados pelas autoras:"
Questão 20666.   Arquivologia - Nível Superior - ANP - CESPE - 2013,,,'a',Certo," Em relação às características dos acervos dos órgãos de documentação, julgue os itens que se seguem.",,Errado,"As finalidades da biblioteca e do museu são didáticas, culturais, técnicas ou científicas. 
"
Questão 28611.   Arquivologia - Nível Médio - Prefeitura de Barbacena MG - FCM - 2016,,"d) 6, 7, 4, 1, 5, 2, 3.",'d',"a) 1, 4, 3, 2, 7, 5, 6.",,"c) 5, 1, 2, 6, 4, 3, 7.","b) 2, 7, 5, 4, 3, 6, 1.","Considerando as rotinas de processos e os procedimentos de protocolo, expedição e arquivos, enumere as ações referentes ao encerramento de volume com subsequente abertura de volume.

( ) Registra no sistema.
( ) Encaminha para distribuição.
( ) Inclui termo de abertura de novo volume.
( ) Recebe o processo para encerramento de volume.
( ) Indica a numeração do(s) volume(s) na capa do processo.
( ) Confere e ajusta, se necessário, a numeração das páginas.
( ) Inclui termo de encerramento de volume, no respectivo volume a ser encerrado.

A ordem correta é"
Questão 1052.   Arquivologia - Nível Médio - ANATEL - CESPE,,,'a',Certo," Os documentos chegam, em determinado órgão público instalado em Brasília, de forma variada. Uns são registrados e, em seguida, enviados ao destinatário, outros entram sem nenhum tipo de anotação. Além disso, há aqueles que, atualmente, entram no órgão por meio das tecnologias da informação (fax, correio eletrônico). Cada setor de trabalho organiza seus documentos de maneira independente, sem nenhum tipo de orientação e, depois, por falta de espaço físico ou devido ao final do ano civil, esses documentos são transferidos para outro lugar, conhecido, geralmente, como arquivo morto.

Considerando a situação hipotética acima, julgue os itens subsequentes, acerca das técnicas de arquivamento e dos procedimentos administrativos no âmbito do setor público.",,Errado,O registro dos documentos que chegam a um órgão público deve ser feito no setor de protocolo e consiste na reprodução dos dados do documento destinada a controlar a movimentação e fornecer dados de suas características fundamentais aos interessados.
Questão 30894.   Arquivologia - Nível Superior - FIOCRUZ - FGV - 2010,"e) se apenas as afirmativas II, IV e V estiverem corretas.","d) se apenas as afirmativas I, IV e V estiverem corretas.",'c',"a) se apenas as afirmativas I, II e V estiverem corretas .",,"c) se apenas as afirmativas II, III e V estiverem corretas.","b) se apenas as afirmativas I, III e V estiverem corretas.","No plano teórico as razões que justificam o princípio do respeito aos fundos são inúmeras e irrefutáveis. A esse respeito analise as afirmativas a seguir.

I. Os documentos são reunidos orgânica e seletivamente.
II. Os documentos são reunidos em razão de suas funções e atividades.
III. Os documentos de arquivo possuem caráter utilitário.
IV. Os documentos de arquivos são concebidos como documentos isolados.
V. Os documentos de arquivo são considerados na medida em que pertençam a um conjunto.

Assinale:"
Questão 9665.   Arquivologia - Nível Médio - ABIN - CESPE - 2010,,,'b',Certo," Julgue os itens a seguir, relativos à gestão de documentos.",,Errado,"A gestão de documentos é aplicada no momento em que os documentos alcançam o valor secundário e passam a constituir importantes fontes para a pesquisa histórica.

"
Questão 31418.   Arquivologia - Nível Médio - CREMAM - QUADRIX - 2016,e) que se aplica a Teoria dos Fundos.,d) que se aplica a Normalização do processo de descrição arquivística.,'b',a) que é elaborada a Tabela de Equivalência.,,c) que é feita a Relação Documental de Comparação.,b) que é elaborada a Tabela de Temporalidade Documental (TTD).,"A gestão documental concentra atividades (procedimentos e operações técnicas) concernentes a produção, tramitação, uso (utilização), avaliação e arquivamento (em fase corrente e intermediária), visando a eliminação ou recolhimento (destinação de documentos). É na fase de destinação de documentos:"
Questão 14771.   Arquivologia - Nível Superior - UFRJ - PR-4 - 2012,e) parte da lista de controle.,d) parte do índice;,'b',a) instrumento de citação;,,c) instrumento de administração;,b) instrumento de descrição documental;,"Rousseau e Couture em Fundamentos da Disciplina Arquivística, publicado em 1998, afirmam que a lista cronológica é:"
Questão 9558.   Arquivologia - Nível Superior - ANCINE - CESPE - 2013,,,'b',Certo," Acerca da legislação arquivística e dos princípios e conceito relacionados à arquivologia, julgue os itens que se seguem.",,Errado,"A tramitação de documentos consiste na identificação dos documentos de arquivo por meio de pontos de acesso.
"
Questão 31893.   Arquivologia - Nível Médio - CRO PR - QUADRIX - 2016,"e) que, mesmo originais, detêm interesse administrativo apenas por determinado período.",d) que sejam cópias e duplicatas de originais destinados à guarda permanente.,'c',a) cujos textos tenham sido reproduzidos em sua totalidade ou parcialmente e cujas informações essenciais acham-se recapituladas em outros.,,"c) relativos à administração de pessoal: acordos e reajustes salariais, planos de remuneração e classificação de cargos, pastas de assentamentos funcionais, processos de aposentadoria.",b) que apresentem repetição da informação e qualidade técnica inferior.,"De acordo com os prazos de guarda, os documentos podem ser considerados: de guarda eventual; de guarda temporária; e de guarda permanente. Os de guarda temporária são aqueles em que prevalece o interesse administrativo como determinante de seu valor e, consequentemente, de seu prazo de retenção. Neste grupo estão incluídos, por exemplo, os seguintes documentos, exceto aqueles:"
