questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 21932.   Atualidades - Nível Médio - Banestes - MAKIYAMA - 2015,e) A incorporação da China à Celac.,d) Um acordo de complementação econômica com a União Europeia.,'c',a) A autorização concedida a frigoríficos chineses para exportar carne bovina para o Brasil.,,"c) O projeto de construção da Ferrovia Transoceânica, que ligará Brasil e Peru.","b) A venda da Embraer a Tianjin Airlines, pelo valor estimado de US$ 1,1 bilhão.","A presidente Dilma Rousseff recebeu [...] no Palácio do Planalto o primeiro-ministro chinês, Li Keqiang, e assinou 35 acordos bilaterais nas áreas de planejamento, infraestrutura, comércio, energia, mineração, entre outras, no valor de mais de US$ 53 bilhões, de acordo com o governo brasileiro. Dilma viajará à China em 2016 para estreitar ainda mais o relacionamento entre os países. Somente com a Petrobras, os acordos que envolvem financiamento de projetos da estatal chegam a pelo menos US$ 7 bilhões.

Disponível em: < http://www1.folha.uol.com.br/ > Acesso em 19/06/15

Faz parte dos acordos bilaterais referidos acima:"
Questão 34341.   Atualidades - Nível Superior - EBAL - CEFET BA - 2010,"e) A violência extrema, nas megacidades dos países desenvolvidos, resulta do aumento crescente da população e do consumo, sobretudo por parte dos imigrantes.","d) O setor de transporte é o principal problema enfrentado pelas cidades brasileiras e a tendência é a diminuição da frota para minimizar custos com combustíveis, enquanto o país não se tornar de fato autossuficiente em petróleo.",'a',"a) A falta de coleta de lixo, em aglomerações urbanas de países pobres, provoca contaminação da água, e a ausência de galerias pluviais torna as enchentes, nessas áreas, mais graves, ocasionando doenças, a exemplo da leptospirose.",,"c) A expansão horizontal das cidades se constitui um sério problema em termos de estrutura geral, motivo que levou, tardiamente, o governo do Rio de Janeiro a iniciar o projeto de construção de muros ao redor de suas favelas, para estimular o crescimento vertical nesse tipo de ocupação.","b) A rápida mobilidade social, nas grandes cidades dos países em desenvolvimento, só tem sido possível nos últimos dois anos, em função do aumento dos empregos formais e da queda acentuada do custo de vida.","Mais da metade da população mundial já vive nas cidades e os problemas decorrentes desse fato tendem a se agravar, principalmente nos países pobres, onde o crescimento é muito mais acelerado.
As informações contidas no texto e os conhecimentos em relação aos problemas enfrentados pelas grandes cidades do mundo permitem afirmar:"
Questão 32091.   Atualidades - Nível Superior - CRO RJ - BD - 2016,"e) A Espanha ameaçou sair do bloco, caso a Inglaterra continuasse.",d) A coroa Inglesa gastava muito e a libra não estava sendo valorizada.,'b',a) A entrada da Romênia no bloco e seu destaque na área de petroquímica.,,c) O Reino Unido não estava suportando a invasão de imigrantes em seu território.,b) Razões econômicas e culturais mantidas pela tradição da coroa.,"O Reino Unido integrava a União Europeia desde 1973. Com sua saída do bloco, mais uma vez a crise que já rondava os países membros poderá se instalar de vez. Esse fato tem gerando grande instabilidade política e econômica não só na Europa, mas também em outros países, devido aos investimentos feitos por lá. A saída do Reino Unido do bloco da União Europeia gerou muita polêmica, pois esse ato poderá comprometer a estabilidade do bloco como um todo, a considerar a crise econômica pela qual passam vários países europeus.

Disponível em http://www.bbc.com/portuguese/internacional-36609225. Acesso em: 20 agosto 2016.

Assinale nas alternativas abaixo a que apresenta uma das possíveis razões para a saída do Reino Unido do Bloco da União Europeia."
Questão 21858.   Atualidades - Nível Médio - BANESE - CESPE - 2004,,,'a',Certo," A Internet só atingiu o grande público há dez anos. E, em tão pouco tempo, virou pelo avesso setores inteiros da vida política, econômica, social, cultural, associativa. A tal ponto que, neste momento, em referência ao estado da informação e da comunicação no mundo, pode-se falar de uma ""nova ordem Internet"". Nada é como antes. A aceleração e a confiabilidade das redes mudaram a maneira de se comunicar, de estudar, de comprar, de se informar, de se distrair, de se organizar, de se instruir e de trabalhar de uma parcela importante de habitantes do planeta. O correio eletrônico e a consulta à Internet colocam o computador no centro de um dispositivo de trocas que mexe com todo o universo profissional em todos os setores de atividades. 19% dos habitantes da Terra representam 91% dos usuários da Internet. A África conta atualmente com 1% de usuários da Internet, dos quais pouquíssimos são mulheres.

Ignácio Ramonet (Le Monde diplomatique). A nova ordem Internet. In: Legis, Ano IV, n.º 34, jan./2004, p. 4 (com adaptações).

Tendo o texto acima como referência inicial e considerando os diversos aspectos que envolvem o tema abordado, julgue os itens de 34 a 41.",,Errado,"Modernas tecnologias, como as que tornam possível a existência da rede mundial de computadores, agilizam a circulação de capitais pelos mercados financeiros globais.
"
Questão 31464.   Atualidades - Nível Médio - CRO SP - VUNESP - 2015,e) o superfaturamento de obras de grandes empreiteiras.,d) a prática de lavagem de dinheiro em paraísos fiscais.,'b',a) fraudes em licitações públicas.,,c) caixa 2 para financiamento de campanhas políticas.,b) um esquema de sonegação fiscal.,"Deflagrada no fim de março e com origem em uma carta anônima entregue num envelope pardo, a Operação Zelotes da Polícia Federal investiga um grande esquema de corrupção.

(Folha de S.Paulo, 1° .04.15. Disponível em: . Adaptado)

A Operação Zelotes investiga"
Questão 27351.   Atualidades - Nível Fundamental - Câmara de Rio de Janeiro RJ - BD - 2015,,d) Carolina Dieckmann,'a',a) Maria da Penha,,c) Carolina de Jesus,b) Daniella Perez (C) Carolina de Jesus,"""A luta para acabar com a violência contra as mulheres, presente nas reivindicações desde os anos 1970, tem encontrado muitos obstáculos. Não têm faltado esforços nessa direção; estes, entretanto, esbarram em permanências culturais difíceis de modificar. [...] Mas, em 7 de agosto de 2006, foi sancionada a Lei da Violência Doméstica e Familiar contra a Mulher.

[PEDRO, Joana. Mulheres. In: PINSK, Jaime (org.). O Brasil no Contexto: 1987 - 2007. São Paulo: Contexto, 2007. p. 174-175] 

O texto se refere a Lei:"
Questão 37028.   Atualidades - Nível Fundamental - TJ RR - CESPE - 2012,,,'b',Certo,"    O crime organizado internacional é um negócio 870 bilhões de dólares anuais. O montante representa mais de seis vezes o total destinado ao desenvolvimento e equivale de 1,5% do produto interno bruto (PIB) mundial. O alerta é do Escritório da Organização das Nações Unidas sobre Drogas e crimes.

O Globo17/7/2012, p.25 (com adaptações)",,Errado,"Considerando as ideias do texto acima bem como as múltiplas implicações do tema nele abordado, julgue os itens seguintes.

A América Latina é uma das poucas regiões onde a rede do crime organizado raramente atua."
Questão 26984.   Atualidades - Nível Superior - Câmara de Acaraú CE - FUNCEPE - 2014,e) Da continuidade de isenção de IPI na compra de carros,"d) Por diminuição na conta de energia elétrica, considerada abusiva",'c',a) Para o impeachment da Presidente da República,,"c) Por melhorias no transporte público, associada ao não aumento no valor das passagens.",b) Por melhorias no acesso a internet e a novas tecnologias,As manifestações ocorridas em junho de 2013 tiveram como estopim a reivindicação:
Questão 32222.   Atualidades - Nível Médio - CRP MG - QUADRIX - 2015,e) Fernanda Montenegro.,d) Barbara Heliodora.,'d',a) Gilda de Mello e Souza.,,c) Cacilda Becker.,b) Bibi Ferreira.,"Em 2015, o cenário cultural brasileiro perdeu, aos 91 anos, sua mais famosa crítica teatral. Pesquisadora e notória tradutora das obras de Shakespeare para o português, ela publicou durante décadas críticas teatrais especializadas em jornais de grande circulação nacional. Seu nome era:"
Questão 36545.   Atualidades - Nível Superior - TJ MS - IESES - 2014,,d) Todas as afirmativas estão corretas.,'d',"a) Somente as afirmativas I, III, IV e V estão corretas.",,"c) Somente as afirmativas I, II e III estão corretas.","b) Somente as afirmativas I, III e V estão corretas.","Surgiu uma polêmica no Brasil em 2013 sobre o tema biografias e biografados. Há cantores, medalhões da MPB  Música Popular Brasileira como Roberto Carlos, Caetano Veloso, Gilberto Gil, Chico Buarque e Milton Nascimento que se manifestaram e produziram controvérsias sobre o tema. Do outro lado da discussão está a ANEL (Associação Nacional dos Editores de Livros). Com relação ao tema, analise as afirmativas a seguir:

I. A polêmica trata da necessidade de autorização para a publicação das biografias.
II. A ANEL move no Supremo Tribunal Federal uma Ação Direta de Inconstitucionalidade questionando os dois artigos do Código Civil que impedem a publicação sem a anuência prévia dos biografados ou de seus herdeiros.
III. Para a ANEL as normas atuais violam a liberdade de expressão e o direito à informação.
IV. A polêmica começou após reportagem da Folha de S. Paulo noticiar que o cantor Roberto Carlos, que é contrário à publicação de biografias não autorizadas e já tirou de circulação obras sobre sua vida, conseguiu o apoio de músicos da MPB em seu posicionamento.
V. Um manifesto divulgado na Bienal do Rio, assinado por autores como Boris Fausto e Ruy Castro, diz que a proibição às biografias não autorizadas é um monopólio da história, típico de regimes totalitários.

Considerando as afirmativas I, II, III, IV e V, assinale a opção correta."
