questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 35173.   Biblioteconomia - Nível Superior - IFAM - FUNCAB - 2014,e) Biblioteca Virtual Universitária.,d) Balcão de Informações da Amazônia.,'e',a) Rede Brasileira de Dados.,,c) Banco de Informações Cooperativas.,b) Biblioteca Digital do Estudante.,"A base para pesquisa de livros-texto em português no formato digital, com mais de 1400 títulos nas mais diversas áreas, como administração, marketing, engenharia e outras, disponível no site da Biblioteca do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas (IFAM) é a(o):"
Questão 35431.   Biblioteconomia - Nível Fundamental - IFGO - CS-UFG - 2014,,d) diagnóstico.,'a',a) relatório.,,c) projeto.,b) programa.,"O conjunto de informações sobre acervo, serviços prestados, usuários e recursos humanos, físicos, materiais e financeiros, ordenados de modo a mostrar a situação da biblioteca em um dado período, é considerado"
Questão 34353.   Biblioteconomia - Nível Superior - EBAL - CEFET BA - 2010,e) FEBAB.,d) SESU.,'d',a) FID.,,c) IFLA.,b) ALA.,É um dos quatro órgãos ligados a órgãos públicos federais responsáveis pela manutenção financeira e de infraestrutura do Programa de Comutação Bibliográfica  Comut  o indicado na alternativa
Questão 11823.   Biblioteconomia - Nível Superior - Prefeitura de Florianópolis SC - FGV - 2014,e) segurança do intercâmbio e dos dados.,"d) hospedagem do sistema.
",'a',"a) acessibilidade do serviço em linha para o público;
",,"c) conectividade;
","b) modo de contato;
","Na implantação de um serviço de referência virtual, os aspectos técnicos que requerem a criação de uma seção específica do serviço no sítio da instituição, com a construção de páginas HTML ou XML e vínculos de hipertexto, dizem respeito à(ao):"
Questão 27890.   Biblioteconomia - Nível Superior - Câmara de São Miguel do Oeste SC - BD - 2015,,"d) A qualidade do papel e da tinta, bem como a temperatura e a umidade são fatores que interferem no desgaste do livro.",'b',"a) A posição do livro interfere na sua preservação devendo-se assim, evitar dispô-los de modo que fiquem inclinados ou em posições em que suas lombadas não permaneçam totalmente na vertical.",,"c) O uso de dispositivos como desumidificadores, esterilizadores de ar, condicionadores de ar e termômetros auxiliam no controle de fatores ambientais ou físico-químicos.","b) Uma ligeira folga entre os livros auxilia a ocasionar danos a encardenação e a circulação do ar, facilitando a ação de fatores biológicos.",Com relação a preservação do acervo bibliográfico é incorreto afirmar que:
Questão 29026.   Biblioteconomia - Nível Superior - Prefeitura de Betim MG - BD - 2015,,d) a aprendizagem organizacional.,'a',a) a tomada de decisões.,,c) a avaliação de resultados.,b) a organização do conhecimento.,"Os fluxos de informação permitem estabelecer e definir as etapas de obtenção e gestão da informação no contexto organizacional.

Nessa perspectiva, o fluxo de informação é um recurso estratégico para "
Questão 30948.   Biblioteconomia - Nível Médio - FIOCRUZ - FDC - 2014,e) MOSAIC,d) MARC P21.,'d',a) AACR2R.,,c) CALCO,b) UNITERM.,"Uma iniciativa da Biblioteca do Congresso Americano, desenvolvida na década de 1960, teve como proposta converter os dados contidos nas fichas impressas dos catálogos manuais em dados legíveis por computador. Esse sistema, que resultou em uma base de dados compartilhada por outras bibliotecas norte-americanas e internacionais, atualmente é denominado:"
Questão 30947.   Biblioteconomia - Nível Médio - FIOCRUZ - FDC - 2014,e) TEXTO LIVRE.,d) BIBLIVRE.,'d',a) PHL,,c) GNUTECA,b) SOPHIA,"Com o apoio da Fundação Biblioteca Nacional, é oferecido um sistema de automação de bibliotecas, norteado pelo acesso livre ao software, o qual pode ser utilizado gratuitamente, por instituições públicas e privadas. Este sistema denomina-se:"
Questão 30949.   Biblioteconomia - Nível Médio - FIOCRUZ - FDC - 2014,e) da direita para a esquerda.,d) de acordo com o seu tamanho e cor.,'b',a) em ordem cronológica.,,c) de baixo para cima.,b) da esquerda para a direita.,"O acervo de uma biblioteca deve ser organizado de modo que o material que o compõe possa ser localizado facilmente pelos leitores. Quanto à posição dos livros nas estantes, estes devem ser colocados:"
Questão 28953.   Biblioteconomia - Nível Médio - Prefeitura de Betim MG - BD - 2015,,d) O trabalho com o vocabulário e a estrutura textual-discursiva dos textos oferecidos para leitura.,'d',a) A organização do espaço da biblioteca escolar.,,"c) A organização do acervo, decoração, comunicação visual do ambiente da biblioteca escolar.",b) A disposição dos móveis no espaço da biblioteca escolar.,"São cuidados do Técnico de Biblioteca para aproximação do leitor com o objeto da leitura, EXCETO:"
Questão 35497.   Biblioteconomia - Nível Fundamental - IFPR - CETRO - 2014,"e) A biblioteca pública tem por finalidade atender às necessidades de estudos, consulta e recreação de uma categoria especial de usuário.","d) A biblioteca universitária tem por missão apoiar as atividades de ensino, pesquisa e extensão da instituição em que ela está inserida.",'d',"a) A biblioteca especializada tem por finalidade ampliar e completar os conhecimentos ministrados, em aula, pelos professores.",,"c) A biblioteca nacional está vinculada a alguma instituição, cuja área de atuação se envolve com determinado assunto.","b) A biblioteca escolar continua o trabalho desenvolvido pela biblioteca universitária. Além disso, sua coleção deve complementar os conhecimentos ministrados no currículo dos cursos.","Sobre tipos de biblioteca, assinale a alternativa correta."
Questão 11816.   Biblioteconomia - Nível Superior - Prefeitura de Florianópolis SC - FGV - 2014,e) atender as necessidades de estudantes do ensino superior.,"d) preservar a memória nacional;
",'b',"a) estar mais voltada para recreação;
",,"c) fornecer material necessário às atividades dos professores;
","b) ser subvencionada pelo poder público;
",As bibliotecas públicas caracterizam-se por: destinar-se a toda coletividade; possuir todo tipo de material e:
