questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 28543.   Biologia - Nível Superior - Prefeitura de Aroeiras PB - ACAPLAM - 2010,e) Todas alternativas estão corretas.,d) Poliquetas.,'e',a) Poríferos.,,c) Anfíbios.,b) Moluscos.,"A respiração cutânea ocorre em animais que não apresentam estruturas especializadas para a realização de trocas gasosas.

Esse tipo de respiração ocorre em:"
Questão 28548.   Biologia - Nível Superior - Prefeitura de Aroeiras PB - ACAPLAM - 2010,e) NDA,d) A pericardite pode ser decorrente de infecção viral ou bacteriana.,'d',a) Nó sinusal localiza-se no ventrículo esquerdo.,,c) Tronco pulmonar só relaciona-se com o sistema respiratório.,"b) Veia cava superior recebe sangue de membros inferiores e face, não relaciona-se com membros superiores.","Sobre o sistema circulatório, marque a alternativa correta:"
Questão 11458.   Biologia - Nível Superior - SAAE SP - VUNESP - 2014,e) restringir-­se ao nível trófico consumidor.,d) ocorrer ao longo de todos seus integrantes.,'d',a) restringir-­se aos níveis tróficos superiores.,,c) restringir-­se aos animais insetívoros.,b) ocorrer a partir do nível trófico herbívoro.,"O DDT (dicloro  difenil  tricloro  etano) é um composto químico cujo custo de produção é baixo, além de ser altamente efecaz no combate aos insetos, às pragas e aos transmissores de doenças.

Considerado o primeiro pesticida moderno, o DDT atual­mente é proibido em diversos países, em função de sua característica acumulativa na cadeia alimentar"
Questão 10147.   Biologia - Nível Superior - SEE AL - CESPE - 2013,,,'b',Certo,,,Errado,"A alfarroba é uma vagem da qual se extrai uma polpa que, depois de torrada e moída, pode ser usada como substituto do cacau. Com sabor de chocolate, os produtos feitos com alfarroba possuem o benefício de serem isentos de lactose, glúten e açúcar, embora, em termos calóricos, não apresentem muita diferença do cacau. A alfarrobeira (Ceratonia siliqua) também é designada pelo nome popular de figueira-do-egito.

Internet: < www.senado.gov.br/ > (com adaptações).

Com base nas informações apresentadas no texto e nos aspectos a ele relacionados, julgue os itens a seguir.

De acordo com a classificação biológica proposta por Margulis, plantas e algas pluricelulares são classificadas no Reino Metaphyta (Plantae)."
Questão 18242.   Biologia - Nível Médio - Polícia Militar PR - UFPR - 2014,e) no controle de pragas e na polinização.,d) no controle de pragas e na dispersão das sementes.,'a',a) na dispersão das sementes e na polinização.,,c) na polinização e na dispersão das sementes.,b) na dispersão das sementes e no controle de pragas.,"O processo de desaparecimento de animais em um ambiente, conhecido por defaunação, pode causar um dano profundo aos ecossistemas. Em florestas tropicais, muitas árvores dependem de animais como macacos e antas. Na agricultura, a produção de muitas culturas depende das abelhas, que estão desaparecendo. Os animais citados no texto, mamíferos e abelhas, atuam, respectivamente,"
Questão 10153.   Biologia - Nível Superior - SEE AL - CESPE - 2013,,,'b',Certo,,,Errado,"Com relação às estruturas, processos e funções dos constituintes celulares, julgue os itens subsequentes.

As vesículas transportadoras destinadas à superfície celular são oriundas do complexo de Golgi e descarregam seu conteúdo fora da célula mediante processo de fagocitose."
Questão 10161.   Biologia - Nível Superior - SEE AL - CESPE - 2013,,,'b',Certo,,,Errado,"Acerca da estrutura e do funcionamento do sistema nervoso humano, julgue os itens que se seguem.

As diferentes frequências de ondas eletromagnéticas que atingem os olhos são captadas e transformadas em cores nos bastonetes da retina."
Questão 16289.   Biologia - Nível Médio - Bombeiro Militar DF - CESPE - 2011,,,'a',Certo," Uma das muitas atribuições do corpo de bombeiros tem sido o combate a incêndios na vegetação nativa. No planalto central brasileiro, em vista do período de seca sazonal, os incêndios são preocupação constante devido ao potencial de resultar em degradação do bioma dessa região. A respeito desse tema e do bioma em questão, julgue os itens de 61 a 68.",,Errado,"A passagem do fogo pode favorecer a herbivoria.
"
Questão 24960.   Biologia - Nível Médio - ENEM - INEP - 2015,e) reduziu a reabsorção de glicose e aminoácidos.,d) produziu urina com maior concentração de sais.,'d',a) aumentou a filtração glomerular.,,c) produziu urina com menos ureia.,b) produziu maior volume de urina.,"Durante uma expedição, um grupo de estudantes perdeu-se de seu guia. Ao longo do dia em que esse grupo estava perdido, sem água e debaixo de sol, os estudantes passaram a sentir cada vez mais sede. Consequentemente, o sistema excretor desses indivíduos teve um acréscimo em um dos seus processos funcionais.

Nessa situação o sistema excretor dos estudantes"
Questão 16529.   Biologia - Nível Médio - Bombeiro Militar MG - IDECAN - 2015,,d) Grupo O.,'d',a) Grupo A.,,c) Grupo B.,b) Grupo AB.,"Uma mulher do grupo A, filha de mãe do grupo O, casa-se com um homem do grupo AB. Portanto, qual das alternativas  indica o tipo sanguíneo que NÃO poderia ser de uma criança gerada por esse casal?"
Questão 11454.   Biologia - Nível Superior - SAAE SP - VUNESP - 2014,"e) não são conclusivas, pois o tempo do estudo abrange apenas um período reprodutivo completo.","d) não são conclusivas, pois a presença de ninhos e filho­tes não indica capacidade reprodutiva.
",'e',"a) são conclusivas, pois o tempo do estudo abrange um período reprodutivo completo.
",,"c) são conclusivas, pois a ocorrência de animais juvenis e adultos ao longo de toda extensão indica capacidade adaptativa.
","b) são conclusivas, pois a ocorrência de ninhos, filhotes e adultos demonstra capacidade adaptativa e reprodutiva.
","Estudos de ocorrência e distribuição de duas populações de jacarés foram realizados ao longo de um ano após o enchi­mento de um grande reservatório de água.

Verificou­-se a ocorrência de ninhos e filhotes de ambas espé­cies nas margens do reservatório, assim como a presença de animais juvenis e adultos em praticamente toda a extensão do reservatório.

Tais observações"
Questão 16287.   Biologia - Nível Médio - Bombeiro Militar DF - CESPE - 2011,,,'a',Certo," Uma das muitas atribuições do corpo de bombeiros tem sido o combate a incêndios na vegetação nativa. No planalto central brasileiro, em vista do período de seca sazonal, os incêndios são preocupação constante devido ao potencial de resultar em degradação do bioma dessa região. A respeito desse tema e do bioma em questão, julgue os itens de 61 a 68.",,Errado,"Durante os incêndios, o ciclo do carbono é movimentado pela liberação desse elemento do estoque de biomassa para a atmosfera.
"
Questão 25066.   Biologia - Nível Médio - ENEM - INEP - 2014,e) ácidos graxos saturados.,d) aminoácidos essenciais.,'d',a) vitaminas A e E.,,c) aminoácidos naturais.,b) frutose e sacarose.,"Na década de 1940, na Região Centro-Oeste, produtores rurais, cujos bois, porcos, aves e cabras estavam morrendo por uma peste desconhecida, fizeram uma promessa, que consistiu em não comer carne e derivados até que a peste fosse debelada. Assim, durante três meses, arroz, feijão, verduras e legumes formaram o prato principal desses produtores.

O Hoje, 15 out. 2011 (adaptado).

Para suprir o déficit nutricional a que os produtores rurais se submeteram durante o período da promessa, foi importante eles terem consumido alimentos ricos em"
Questão 28547.   Biologia - Nível Superior - Prefeitura de Aroeiras PB - ACAPLAM - 2010,e) Na leucopenia ocorre um aumento na produção para combater infecção.,d) Realizam fagocitose.,'e',"a) Dividem-se em agranulados,granulados e monócitos.",,c) São fabricados na medula óssea a partir de células hematopoiéticas.,b) A função do linfócito está relacionada com as reações imunitárias.,"Os leucócitos, também conhecidos por glóbulos brancos, são células produzidas na medula óssea e presentes no sangue, linfa, órgãos linfóides e vários tecidos conjuntivos. Um adulto normal possui entre 4 mil e 11 mil leucócitos por mililitro (milímetro cúbico) de sangue.

Sobre os leucócitos marque a alternativa errada:"
