questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 37299.   Direito do Trabalho - Nível Médio - TRT RN - CESPE - 2010,,,'b',Certo," Acerca do direito do trabalho, julgue os itens a seguir.",,Errado,"O empregado contratado para prestação de trabalho em regime de tempo parcial pode converter um terço do período de férias a que tiver direito em abono pecuniário, no valor da remuneração que lhe seria devida nos dias correspondentes.
"
Questão 37822.   Direito do Trabalho - Nível Superior - TRT SP - BD - 2016,e) Todas as proposições estão corretas.,"d) Somente as proposições III,IV e V estão corretas.",'c',"a) Somente as proposições l,II e IV estão corretas.",,"c) Somente as proposições II,III e IV estão corretas","b) Somente as proposições l,II e V estão corretas.","Em relação às normas legais aplicáveis ao estágio e à aprendizagem analise as seguintes proposições:

I- Nos termos da Constituição da República e da Consolidação das Leis do Trabalho, é proibido qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz ou de estagiário, a partir de quatorze anos.
II- Segundo a Consolidação das Leis do Trabalho, contrato de aprendizagem é o contrato de trabalho especial, ajustado por escrito e por prazo determinado, em que o empregador se compromete a assegurar ao maior de 14 (quatorze) e menor de 24 (vinte e quatro) anos - exceto no caso do aprendiz portador de deficiência, para o qual não se aplica tal idade máxima - inscrito em programa de aprendizagem formação técnico-profissional metódica, compatível com o seu desenvolvimento físico, moral e psicológico, e o aprendiz, a executar com zelo e diligência as tarefas necessárias a essa formação.
III- Segundo a Lei n° 11.788/08, que dispõe sobre o estágio de estudantes, é assegurado às pessoas portadoras de deficiência o percentual de 10% (dez por cento) das vagas oferecidas pela parte concedente do estágio.
IV- Segundo a Consolidação das Leis do Trabalho, o contrato de aprendizagem não poderá ser estipulado por mais de 2 (dois) anos, exceto quando se tratar de aprendiz portador de deficiência.
V- Segundo a Lei n° 11.788/08, que dispõe sobre o estágio de estudantes, a duração do estágio, na mesma parte concedente, não poderá exceder 18 (dezoito) meses, exceto quando se tratar de estagiário portador de deficiência. 

Responda:"
Questão 39235.   Direito do Trabalho - Nível Médio - TST - FCC - 2012,"e) interrupção do contrato de trabalho a falta injustificada por até 2 dias, consecutivos ou não, para fins de alistamento eleitoral.","d) suspensão do contrato de trabalho a falta injustificada por até 2 dias, consecutivos ou não, para fins de alistamento eleitoral.",'e',"a) suspensão do contrato de trabalho a falta injustificada por até 3 dias consecutivos, para fins de alistamento eleitoral.",,"c) interrupção do contrato de trabalho a falta injustificada por até 3 dias consecutivos, para fins de alistamento eleitoral.","b) interrupção do contrato de trabalho a falta injustificada por até 3 dias, consecutivos ou não, para fins de alistamento eleitoral.","Bruno, jovem empregado da empresa X, visando exercer seu direito de votar nas próximas eleições, pretende se alistar eleitor. Neste caso, a Consolidação das Leis do Trabalho prevê como sendo hipótese de"
Questão 14566.   Direito do Trabalho - Nível Superior - AGU - CESPE - 2012,,,'b',Certo,,,Errado,"Com base na CLT, julgue os itens seguintes, a respeito da relação de emprego e do contrato individual de trabalho. 

O contrato individual deve necessariamente ser escrito, não se admitindo forma tácita de contratação."
Questão 28381.   Direito do Trabalho - Nível Superior - Prefeitura de Araguaína TO - COPESE - 2014,,"d) Apenas os itens II, III e IV estão corretos.",'d',a) Todos os itens estão corretos.,,"c) Apenas os itens I, III e IV estão corretos.","b) Apenas os itens I, II e III estão corretos.","Analise os itens a seguir.

I. Não cabe aviso prévio nas rescisões antecipadas dos contratos de experiência.
II. Salvo na hipótese de dispensa do empregado por justa causa, a extinção do contrato de trabalho sujeita o empregador ao pagamento da remuneração das férias proporcionais, ainda que incompleto o período aquisitivo de 12 (doze) meses.
III. O contrato de experiência pode ser prorrogado, respeitado o limite máximo de 90 (noventa) dias.
IV. Todo empregado terá direito anualmente ao gozo de um período de férias, sem prejuízo da remuneração.

Assinale a alternativa CORRETA."
Questão 37296.   Direito do Trabalho - Nível Médio - TRT RN - CESPE - 2010,,,'b',Certo," Acerca do direito do trabalho, julgue os itens a seguir.",,Errado,"Pelo princípio da continuidade da relação de emprego, os fatos ordinários são presumidos, em detrimento dos fatos extraordinários, que precisam ser provados. Assim, o ônus de provar o vínculo empregatício e o despedimento é do empregado, porque se trata de fatos constitutivos do seu direito.
"
Questão 13217.   Direito do Trabalho - Nível Superior - PRODEST ES - VUNESP - 2014,"e) A prova do contrato é feita pela devida anotação na CTPS do empregado, não podendo ser suprida por outro meio de prova.","d) Os direitos do contrato serão extintos em caso de falência, concordata ou dissolução da empresa.",'b',a) A lei não admite contrato por tempo indeterminado.,,c) O contrato de experiência não poderá exceder a sessenta dias.,b) Pode ser celebrado verbalmente.,Assinale a alternativa correta a respeito do contrato de trabalho individual.
Questão 27754.   Direito do Trabalho - Nível Médio - Câmara de Jaboticabal SP - VUNESP - 2015,e) tenha trabalhado com vínculo empregatício pelo menos durante 30 dias no ano anterior.,"d) tenha tido seus dados informados, corretamente, até o dia 31 de março do ano anterior, à Receita Federal.",'e',a) estar cadastrado no PIS/PASEP há pelo menos três anos.,,c) não ter tido ausência justificada no ano-base.,b) ter recebido remuneração mensal média de até três salários mínimos no ano anterior.,"O Abono Salarial é um benefício no valor de um salário mínimo, assegurado ao trabalhador cadastrado no PIS/PASEP.

Uma das condições legais para o seu recebimento é"
Questão 2190.   Direito do Trabalho - Nível Superior - TRT - FCC,"e) A, B, C e D.
","d) B e C, apenas.",'e',"a) A, C e D, apenas.",,"c) A e C, apenas.","b) A, B e C, apenas.","O Sindicado A pretende denunciar Convenção Coletiva de Trabalho. O Sindicato B pretende prorrogar Convenção Coletiva de Trabalho. O Sindicato C pretende revisar Convenção Coletiva de Trabalho e o Sindicato D pretende a revogação parcial de Convenção Coletiva de Trabalho. Nestes casos, ficará subordinada, em qualquer caso, à aprovação de Assembleia Geral dos respectivos sindicatos convenentes os procedimentos pretendidos pelos Sindicatos

    "
Questão 21089.   Direito do Trabalho - Nível Superior - ALGÁS - COPEVE-UFAL - 2012,e) revogação,d) denúncia,'c',a) prorrogação,,c) extensão,b) revisão,"Celebrada uma convenção coletiva de trabalho, ela não está sujeita à:"
