questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 33111.   Direitos Humanos - Nível Superior - DPE MA - FCC - 2015,e) II e IV.,d) I e IV.,'c',a) I e III.,,c) III e IV.,b) II e III.,"Em um seminário sobre as 100 Regras de Brasília, um participante afirmou que para efeito dessas Regras: 

I. Vítima é toda pessoa física ou jurídica que tenha sofrido um dano ocasionado por infração penal.
II. O termo vítima não poderá incluir as pessoas que estão a cargo da vítima direta.
III. Considera-se trabalhador migratório toda a pessoa que vá realizar, realize ou tenha realizado uma atividade remunerada num Estado do qual não seja nacional.
IV. Consideram-se em condição de vulnerabilidade aquelas pessoas que, por razão da sua idade, gênero, estado físico ou mental, ou por circunstâncias sociais, econômicas, étnicas e/ou culturais, encontram especiais dificuldades em exercitar com plenitude perante o sistema de justiça os direitos reconhecidos pelo ordenamento jurídico.

Está correto o que se afirma APENAS em"
Questão 4561.   Direitos Humanos - Nível Médio - Prefeitura de Rio de Janeiro RJ - BD - 2011,,d) suspensão de 6 meses a 1 ano,'b',"a) detenção de 1 a 3 anos, e multa",,c) internação de 3 meses a 1 ano,"b) reclusão de 4 a 8 anos, e multa","Produzir, reproduzir, dirigir, fotografar, filmar ou registrar, por qualquer meio, cena de sexo explícito ou pornográfica envolvendo criança ou adolescente, é ato punido com:"
Questão 18195.   Direitos Humanos - Nível Médio - Polícia Militar RO - FUNCAB - 2014,"e) flagrante delito, desastre e para prestar socorro.","d) investigação criminal, suspeita de crime inafiançável e para prestar socorro.",'e',"a) suspeita de crime inafiançável, desastre e flagrante delito.",,"c) flagrante, suspeita de crime imprescritível e para prestar socorro.","b) desastre, suspeita de crime imprescritível e investigação criminal.","Não havendo determina ção judicial nem consentimento do morador, a Constituição Federal autoriza o ingresso de autoridade policial em uma casa nas hipóteses de:"
Questão 13728.   Direitos Humanos - Nível Superior - SJC SC - FEPESE - 2014,e) Declaração de San José da Costa Rica.,d) Protocolo de San Salvador.,'d',a) Rio+20.,,c) Protocolo de Assunção.,b) Protocolo de Cruz Alta.,"A proteção, preservação e o melhoramento do meio ambiente estão previstos no Protocolo Adicional à Convenção Americana sobre Direitos Humanos, também denominado"
Questão 16719.   Direitos Humanos - Nível Superior - Polícia Militar BA - CONSULTEC - 2012,"e) mecanismo de consolidação da democracia racial na Bahia, Estado que, em função da sua formação histórica, desconhece o processo de preconceito racial.","d) fruto da pressão do movimento negro, na luta contra a discriminação racial e da valorização da história e cultura do afrodescendente.",'d',"a) determinação legal estabelecida constitucionalmente, que inclui o dia 20 de novembro como feriado municipal, em Salvador",,c) reconhecimento da importância da cultura africana e da ausência de contribuições significativas dos valores europeus na formação histórica do baiano.,"b) complementação ao processo de indenização monetária do Estado aos negros, devido ao processo de escravidão africana.","A sociedade baiana é cultural e historicamente marcada pela presença de comunidades afrodescendentes, constituindo a prática do racismo crime inafiançável e imprescritível, sujeito a pena de reclusão, nos termos da Constituição Federal. A formação e o aperfeiçoamento do servidor público civil e militar devem sempre incluir em seus programas conteúdos que valorizem a participação do negro na formação histórica da sociedade brasileira, como também prevê que, sempre que for veiculada publicidade estadual com mais de dois indivíduos, será assegurada a inclusão de etnia negra. No calendário oficial, de acordo com a referida Constituição, ficou estabelecida como Dia da Consciência Negra a data de 20 de novembro.

Essa data comemorativa foi instituída como"
Questão 16449.   Direitos Humanos - Nível Médio - Bombeiro Militar RO - FUNCAB - 2009,"e) aos projetos de lei sobre direitos humanos, que se tornarem lei, com votação específica no Congresso Nacional, e posterior veto presidencial.",d) as resoluções da Corte de Haia;,'a',a) aos tratados e convenções internacionais que versem sobre os direitos humanos aprovados pelo Congresso Nacional em votação específica;,,c) as medidas provisórias que versem sobre direitos humanos;,b) as leis ordinárias sobre os direitos humanos ratificadas por mais de vinte países;,"A Emenda Constitucional nº 45/2004 trouxe uma importante inovação no campo dos direitos humanos, a qual vem contribuindo para uma maior efetivação de direitos humanos, consistente na atribuição de de norma constitucional:"
Questão 5295.   Direitos Humanos - Nível Médio - Polícia Civil MG - FUMARC - 2011,,d) (F) (F) (F) (V).,'a',a) (V) (F) (V) (F).,,c) (F) (F) (V) (V).,b) (F) (V) (V) (F).,"A ordem econômica expressa na Constituição Federal tem por fim assegurar a todos existência digna e está fundada
na valorização do trabalho humano e na livre iniciativa. Considerando os princípios gerais da atividade econômica constitucional, assinale (V) nas assertivas Verdadeiras e (F) nas Falsas:

( ) Tratamento favorecido para as empresas de pequeno porte constituídas sob as leis brasileiras e que tenham sua sede e administração no País.
( ) Livre exercício de qualquer atividade econômica, independentemente de autorização de órgãos públicos e ressalvadas quaisquer vedações legais.
( ) Repressão legal contra o abuso do poder econômico que vise à dominação dos mercados e à eliminação da concorrência.
( ) Disciplina legal, com base no interesse nacional, para os investimentos de capital estrangeiro e vedados os reinvestimentos no País.

Marque alternativa CORRETA, na ordem de cima para baixo"
Questão 16693.   Direitos Humanos - Nível Médio - Polícia Militar BA - FCC - 2012,e) a pena de morte só pode ser aplicada a delitos po­líticos.,"d) o pedido de anistia ou comutação de pena não im­pede a execução da pena de morte, se houver demora no julgamento por parte da autoridade competente.",'a',a) não se pode restabelecer a pena de morte nos Es­tados que a hajam abolido,,"c) a pena de morte, nos países que não a tenham abolido, poderá ser estendida a delitos aos quais essa pena atualmente não se aplica",b) a pena de morte pode ser aplicada a delitos comuns conexos com delitos políticos,"De acordo com a Convenção Americana sobre Direitos Humanos/1969 (Pacto de São José da Costa Rica), quanto ao direito à vida, é correto afirmar que"
Questão 16445.   Direitos Humanos - Nível Médio - Bombeiro Militar RO - FUNCAB - 2009,e) valores sociais do trabalho e da livre iniciativa / autodeterminação dos povos / direito à fiança.,d) pluralismo político / proteção dos direitos difusos e coletivos / redução das desigualdades sociais e regionais;,'b',a) soberania / cidadania / redução das desigualdades sociais e regionais;,,c) pluralismo político / autodeterminação dos povos / dignidade da pessoa humana;,b) soberania / cidadania / dignidade da pessoa humana;,"Constituem fundamentos da República Federativa do Brasil, previstos no artigo 1º da Constituição Federal de 1988:"
Questão 11662.   Direitos Humanos - Nível Superior - DPE MT - FCC - 2009,e) Apenas a Declaração Universal dos Direitos Humanos.,"d) Apenas o Pacto Internacional de Direitos Econômicos, Sociais e Culturais e o Protocolo sobre Direitos Econômicos, Sociais e Culturais (Protocolo de São Salvador).",'c',"a) Não, nenhum.",,"c) Apenas o Protocolo sobre Direitos Econômicos, Sociais e Culturais (Protocolo de São Salvador).
","b) Apenas o Pacto Internacional de Direitos Econômicos, Sociais e Culturais.
","As questões climáticas e o desmatamento das florestas são temas polêmicos e de preocupação mundial. Dos instrumentos internacionais de direitos humanos que figuram no Edital deste concurso, algum faz referência ao direito à preservação do meio ambiente?"
