questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 6072.   Geografia - Nível Médio - Polícia Militar PI - UESPI - 2010,"e) As afirmações constantes dos itens I, II, III, IV e V estão corretas.","d) Apenas as afirmações constantes dos itens I, II, III e IV estão corretas.",'d',a) Apenas as afirmações constantes dos itens I e II estão corretas.,,"c) Apenas as afirmações constantes dos itens I, II e IV estão corretas.","b) Apenas as afirmações constantes dos itens I, II e III estão corretas.","O desenvolvimento científico-tecnológico vem se tornando um importante aliado nos estudos de Geografia.
Nesse campo de inovações, podem-se citar o uso de ferramentas diversas como o Sistema de
Posicionamento Global (GPS - Global Positioning System), as fotografias aéreas, o sensoriamento remoto e
o processamento informatizado de dados georreferenciados, denominado de Sistemas de Informações
Geográficas (SIG’s). Tais avanços têm servido como subsídio para analisar um conjunto muito amplo de
informações geográficas que permitem estudos mais detalhados do espaço geográfico.
Acerca dos avanços tecnológicos no campo da representação espacial, analise os itens abaixo:

I – O GPS é de grande importância no levantamento de dados espaciais. Baseado em um sofisticado
sistema eletrônico que se apóia em uma rede de satélites, o GPS oferece, com grande precisão, a
posição instantânea de um receptor em qualquer ponto da Terra. Nesse sentido, seu uso é
recomendado no levantamento de dados geográficos já que permite que se determine a posição de
objetos, ruas, estradas, rios e limites de grandes propriedades, bem como na confecção de cartas
temáticas, no controle de fronteiras, na prospecção e exploração de recursos naturais e, ainda, no
planejamento ambiental.

II – O sensoriamento remoto consiste na utilização conjunta de modernos sensores, equipamentos para
processamento e transmissão de dados, aeronaves, espaçonaves etc., com o objetivo de estudar o
ambiente terrestre através do registro e da análise das interações entre a radiação eletromagnética e
as substâncias componentes do planeta Terra, em suas variadas manifestações.

III – Pelo fato de poderem ser obtidas com intervalos regulares de tempo, as imagens de satélite
constituem-se em importantes ferramentas de monitoramento ambiental e um instrumento geopolítico
valioso.

IV – Os Sistemas de Informações Geográficas correspondem às técnicas utilizadas pela cartografia
automática capazes de integrar diferentes tipos de dados coletados por pesquisadores e demonstrar a
distribuição espacial de cada uma das informações nele inseridas. Esses sistemas são compostos por
hardwares e softwares, informações espaciais e procedimentos de informática que auxiliam na
construção de representações do espaço geográfico e na espacialização de temas variados, como
dados de economia, infra-estrutura, saúde etc.

V – Um dos usos das imagens de satélites refere-se à confecção de mapas temáticos de escala grande,
enquanto as fotografias aéreas servem de base à confecção de cartas topográficas de escala
pequena.

A respeito das afirmações constantes dos itens I a V, pode-se afirmar, CORRETAMENTE, que:"
Questão 2877.   Geografia - Nível Médio - Polícia Militar SP - VUNESP,e) França e Itália.,d) Macedônia e Ucrânia.,'e',a) Suíça e Rússia.,,c) Portugal e Armênia.,b) Noruega e Geórgia.,"Leia a notícia a seguir.

A Comissão Europeia autorizou ontem a Espanha a barrar a
entrada de trabalhadores da Romênia até o fim de 2012, depois
de avaliar a “dramática situação” do desemprego no país,
que chegou a 21%. É a primeira vez que a União Europeia
permite a volta das fronteiras em um caso concreto desde que
alguns países do Leste Europeu foram incorporados ao bloco
e a livre circulação transformou-se em lei.

(http://www.estadao.com.br)

Além da Romênia e da Espanha, também fazem parte da União Europeia:"
Questão 18629.   Geografia - Nível Médio - Colégio Naval - MB - 2010,"e) Nos anos 1990 presenciou-se um incremento na competitividade do parque industrial nacional, reflexo dos grandes investimentos externos em quase todos os segmentos produtivos, aliados aos incentivos fiscais e à concorrência estimulada pelo governo.","d) Nos anos 1980, em função do crescimento do mercado de consumo no país, possibilitado pelo incentivo ao crédito dado pelo governo, associado à competitividade das indústrias de bens de consumo duráveis, o parque industrial nacional tornou-se extremamente competitivo.",'e',"a) Na segunda metade dos anos 1950, em função do país se fechar ao capital externo, exatamente para proteger as indústrias nacionais, houve forte desenvolvimento das indústrias de bens de consumo duráveis, as quais tiveram grande apoio estatal.",,"c) Nos anos 1970, com um fluxo comercial intenso, o país passou por um grande desenvolvimento econômico, uma vez que os crescentes saldos positivos em nossa balança comercial possibilitaram fortes investimentos junto às indústrias ditas de altas tecnologias.","b) Nos anos 1960, o capital privado externo passou a ocupar espaços cada vez maiores no cenário industrial brasileiro, especificamente junto às indústrias de base, deixando para os investidores nacionais o suporte tecnológico.","A economia brasileira, entre os anos 1950 e 1990, passou por transformações sensíveis, fato que condicionou uma mudança gradativa em nosso comportamento comercial, ou seja, deixamos de ser um mero exportador de matérias-primas e passamos a exportar também uma gama de manufaturados. Em função dessas transformações, as quais obedeceram e obedecem a imposições políticas e econômicas internas e externas, assinale a opção correta."
Questão 25131.   Geografia - Nível Médio - USP - FUVEST - 2015,"e) O Uruguai é o principal produtor mundial de prata, e o controle de sua extração é feito por empresas transnacionais. Nesse caso, mantém se o padrão da inserção do país na DIT mencionada pelo autor.","d) A Bolívia destaca se como um dos maiores produtores de ferro da América Latina, e, recentemente, o controle de sua produção passou a ser feito por Conselhos Indígenas. Essa autonomia do País permitiu o rompimento da dominação estadunidense.",'c',"a) O México é o país com maior produção de carvão, cuja exportação é controlada por capital canadense. Para tal situação, o padrão de dominação Norte/Sul na DIT, mencionado pelo autor, é praticado no mesmo continente.",,"c) O Chile destaca se pela extração de cobre, principalmente na sua porção centro norte, que é, em parte, explorado por empresas transnacionais, o que reitera o padrão da DIT mencionado pelo autor.","b) A Colômbia ocupa o primeiro lugar na produção mundial de manganês, por meio de empresas privatizadas nos dois últimos governos bolivarianos, o que realça sua posição no cenário econômico internacional, rompendo a dominação Norte/Sul.","Há dois lados na divisão internacional do trabalho [DITj; um em que alguns países especializam-se em ganhar, e outro em que se especializaram em perder. Nossa comarca do mundo, que hoje chamamos de América Latina, foi precoce:
especializou se em perder desde os remotos tempos em que os europeus do Renascimento se abalançaram pelo mar e fincaram os dentes em sua garganta. Passaram os séculos, e a América Latina aperfeiçoou suas funções. Este já não é o reino das maravilhas, onde a realidade derrotava a fábula e a imaginação era humilhada pelos troféus das conquistas, as jazidas de ouro e as montanhas de prata. Mas a região continua trabalhando como um serviçal. Continua existindo a serviço de necessidades alheias, como fonte e reserva de petróleo e ferro, cobre e carne, frutas e café, matérias primas e alimentos, destinados aos países ricos que ganham, consumindo os, muito mais do que a América Latina ganha produzindo-os.  

Eduardo Galeano. As Veias Abertas da América Latina.
Rio de Janeiro: Paz e Terra, 1981. Adaptado.

Sobre a atual Divisão Internacional do Trabalho (DIT), no que diz respeito à mineração na América Latina, é correto afirmar:"
Questão 9206.   Geografia - Nível Médio - Prefeitura de Cantagalo RJ - CEPERJ - 2006,,d) 400 Km,'b',a) 100 Km,,c) 300 Km,b) 200 Km,"A distância entre o Município de Cantagalo e a Capital do Estado do Rio de Janeiro é de:
"
Questão 17576.   Geografia - Nível Superior - Polícia Militar MT - UNEMAT - 2012,e) Solo aluvial,d) Solo brunizém,'a',a) Solo halomórfico,,c) Solo bruno não-cálcico,b) Solo Podzólico,"Solo que tem como característica uma concentração muito alta de sais solúveis, especialmente o cloreto de sódio, sendo encontrado nas baixadas das regiões áridas e semiáridas, ou próximo ao mar. (GIOVANNETTI, G. Dicionário de Geografia, 1996, p. 198).

A que tipo de solo o texto se refere?"
Questão 17475.   Geografia - Nível Médio - Polícia Militar ES - CESPE - 2010,,,'a',Certo,,,Errado,"Com relação aos aspectos definidores da globalização contemporânea, incluindo a formação dos grandes mercados mundiais, julgue os itens que se seguem.

Os denominados capitais financeiros de risco são aqueles que entram e saem rapidamente dos países, promovendo ataques especulativos contra as moedas locais, a fim de enfraquecê-las, e, com isso, obter a ampliação de seus ganhos."
Questão 18786.   Geografia - Nível Superior - EsFCEx - EB - 2012,"e) A erosão, o transporte e a sedimentação são processos essenciais a dinâmica do planeta e a água é o único agente capaz de carrear grandes quantidades de materiais como areias ou cascalhos.","d) A meteorização física ocorre fortemente em ambientes úmidos e super- úmidos, pois a água é responsável direta pelo transporte de grandes quantidades de material.",'b',a) O intemperismo constitui-se no principal processo de degradação das rochas e a meteorização química é o principal processo de agregação química dos minerais da rocha.,,"c) A ação dos agentes intempéricos em zonas frias é totalmente química, a exemplo da crioclastia que age de forma a decompor as rochas ao infiltrar-se pelas diaclases ou falhas das mesmas.",b) Os processos de intemperismo agem de modo a produzir materiais para que os agentes externos como o vento ou a chuva os transporte e criem novas formas de modelado.,"A elaboração do relevo terrestre pelos fenômenos exógenos é bastante complexa e pode possuir múltiplas associações entre processos físicos, químicos ou biológicos. Com relação a esta afirmativa, assinale a alternativa correta."
Questão 16158.   Geografia - Nível Médio - Bombeiro Militar CE - CESPE - 2014,,,'a',Certo,,,Errado,"No que diz respeito a países do Norte desenvolvido, julgue os itens a seguir.

A Inglaterra apresenta Índice de Desenvolvimento Humano mais elevado que o dos países da América do Sul, como o Brasil e o Chile."
Questão 6360.   Geografia - Nível Médio - EsSA - EB - 2011,"e) Sul, além do extremo sul de São Paulo e Mato Grosso do Sul.","d) Sul, excluindo toda a parte serrana do Planalto Meridional.",'e',a) Nordeste e trechos de maior altitude da região Norte.,,"c) Sul, além de todo o extremo norte de Minas Gerais.","b) Sudeste, além do extremo norte da Serra da Mantiqueira.","No território brasileiro, o clima subtropical é predominante na região

"
