questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 32748.   Governança de TI - Nível Médio - DNPM - MOVENS - 2010,"e) Receber e registrar os chamados, reclamações e elogios dos clientes.",d) Manter os usuários informados a respeito de seus chamados.,'a',a) Encontrar a causa raiz de problemas detectados.,,c) Identificar problemas.,b) Identificar as necessidades de treinamento para os usuários.,"O Service Desk, muitas vezes chamado de Help Desk, é uma das principais unidades de um departamento de informática, já que é o ponto de contato direto entre o departamento de informática e os usuários. Grande parte da imagem da TI dentro de uma empresa devese à eficiência e à eficácia desse serviço. No tocante às funções do Service Desk, definidas pelo ITIL, assinale a opção INCORRETA."
Questão 32749.   Governança de TI - Nível Médio - DNPM - MOVENS - 2010,"e) Os critérios de confidencialidade, conformidade e confiabilidade formam os requerimentos de segurança da informação.",d) O critério da integridade está relacionado com a exatidão e completude da informação.,'e',"a) A confiabilidade é a habilidade de fornecer as informações adequadas para a gerência operar a organização, atendendo aos requisitos fiduciários e de governança.",,c) O critério da eficiência é a capacidade dos sistemas de fornecerem informação por custo e esforço aceitáveis dos recursos.,"b) O critério da conformidade se refere ao cumprimento das condições e requisitos legais, contratuais e demais regulamentações às quais os processos da organização estão sujeitos.","O CobiT é um framework de boas práticas para a gerência de um departamento de TI, pois utiliza controles e processos para promover o gerenciamento eficiente e eficaz dos recursos de informática de uma organização. Sua estrutura é representada na forma de um cubo, onde três aspectos da gerência de TI estão interrelacionados. São eles: Critérios de qualidade, Processos de TI e Recursos de TI. No que concerne aos Critérios de qualidade, assinale a opção INCORRETA."
Questão 38233.   Governança de TI - Nível Médio - TRE PE - CESPE - 2016,e) constitui uma atividade que contém vários processos que podem ser divididos em tarefas.,"d) identifica, desenha, executa, documenta, mede, monitora e controla e também melhora os processos de negócio na organização.",'d',a) limita-se a aspectos internos da organização que estejam sob a responsabilidade de seus proprietários.,,"c) realiza a melhoria dos processos já desenhados e documentados, sem os quais não é possível iniciar um projeto de BPM.","b) identifica os processos de negócio apenas, sendo as demais atividades realizadas pelos proprietários das tarefas do processo.",O gerenciamento de processos
Questão 37461.   Governança de TI - Nível Médio - TRT PB - FCC - 2014,e) suporte para período de funcionamento experimental.,d) escalada para transição em fase experimental.,'e',a) suporte para resolução.,,c) gerenciamento de incidente.,b) banco de dados de transição.,"Referente à Transição de Serviço da ITIL V3, 2011, considere:

Uma etapa no ciclo de vida de serviço que ocorre no final da implantação e antes que o serviço seja totalmente aceito para operação. Durante o suporte para período de funcionamento experimental, o provedor de serviço revê os principais indicadores de desempenho, os níveis de serviço e os limites de monitoração e pode implementar melhorias para garantir que as metas de serviço possam ser atingidas. O provedor de serviço pode também fornecer recursos adicionais para gerenciamento de incidente e de problema durante este período.

Trata-se da definição de"
Questão 37480.   Governança de TI - Nível Superior - TRT SP - FCC - 2015,"e) ANS é firmado, exclusivamente, entre o provedor de serviços de TI e outra parte da mesma organização.","d) ANS cobre um serviço para todos os clientes desse serviço, neste caso, sendo chamado de ANS multi-nível baseado em Cliente.",'c',"a) ANS pode ser formal ou informal, realizado entre o provedor de serviços de TI e o cliente.",,c) único ANS pode cobrir múltiplos serviços de TI ou múltiplos clientes.,"b) ANS descreve os serviços de TI e documenta metas de nível de serviço, mas não especifica as responsabilidades das partes envolvidas.","Na etapa de Desenho de Serviço da ITIL v3 atualizada em 2011, no processo de Gerenciamento de Nível de Serviço são firmados os Acordos de Nível de Serviço - ANS. Um"
Questão 25549.   Governança de TI - Nível Médio - CNJ - CESPE - 2013,,,'a',Certo," Consoante à gestão organizacional, julgue os itens a seguir. Nesse sentido, considere que a sigla BSC, sempre que empregada, refere-se ao termo balanced scorecard.",,Errado,"As relações de causa e efeito, presentes nas medições do BSC, possibilitam o entendimento de como os indicadores não financeiros direcionam os indicadores financeiros na organização.
"
Questão 37678.   Governança de TI - Nível Médio - TRT SE - FCC - 2016,"e) Gestão de Modelo de Ciclo de Vida, que tem como propósito definir, manter e garantir disponibilidade das políticas e modelos de ciclo de vida de software.","d) Aquisição, que tem como propósito obter um produto que satisfaça a necessidade expressa pelo adquirente.",'a',"a) Gestão de Risco, cujo propósito é identificar, analisar, tratar e monitorar riscos de forma contínua.",,"c) Definição dos Requisitos dos Stakeholders, cujo propósito é definir os requisitos funcionais e não funcionais de um sistema.","b) Gestão de Configuração e Ativos de Serviço, cujo propósito é garantir a instalação e configuração dos softwares e controlar os ativos de serviço.","A norma NBR ISO/IEC 12207:2009 estabelece uma estrutura comum para os processos de ciclo de vida de software, que pode ser referenciada pela indústria de software. A norma agrupa as atividades que podem ser executadas durante o ciclo de vida de um sistema que contém software em sete grupos de processo. No grupo de Processos de Projeto encontra-se o processo de"
Questão 19667.   Governança de TI - Nível Superior - ANAC - CESPE - 2012,,,'b',Certo," De acordo com o Cobit 4.1, julgue os itens subsequentes, que tratam da governança de tecnologia da informação (TI).",,Errado,"O processo identificar e alocar custos pertence ao domínio planejar e organizar do modelo Cobit.
"
Questão 37463.   Governança de TI - Nível Médio - TRT PB - FCC - 2014,e) Entregar e Suportar (DS).,d) Planejar e Transferir (PT).,'a',a) Adquirir e Implementar (AI).,,c) Monitorar e Avaliar (ME).,b) Planejar e Organizar (PO).,"Para que a governança de TI seja eficiente, é importante avaliar as atividades e riscos que precisam ser gerenciados. Geralmente eles são ordenados por domínios de responsabilidade de planejamento, construção, processamento e monitoramento. O modelo CobiT 4.1 prevê domínios distintos para cada coisa.

Um técnico experiente sabe que prover as soluções e transferi-las para tornarem-se serviços pertence ao domínio"
Questão 37482.   Governança de TI - Nível Superior - TRT SP - FCC - 2015,"e) Gerência de Configuração, cujo propósito é estabelecer e manter a integridade de todos os produtos de trabalho de um processo ou projeto e disponibilizá-los a todos os envolvidos","d) Projeto e Construção do Produto, cujo propósito é projetar, desenvolver e implementar soluções para atender aos requisitos.",'e',"a) Gerência da Conformidade, cujo propósito é assegurar que os produtos de trabalho e a execução dos processos estejam em conformidade com os planos, procedimentos e padrões estabelecidos.",,"c) Desenvolvimento de Requisitos, cujo propósito é definir os requisitos do cliente, do produto e dos componentes do produto.","b) Gerência de Reutilização, cujo propósito é gerenciar o ciclo de vida dos ativos reutilizáveis.","No MPS.BR o nível de maturidade F (Gerenciado) é composto pelos processos do nível de maturidade anterior (G) acrescidos dos processos Aquisição, Garantia da Qualidade, Gerência de Portfólio de Projetos, Medição e"
Questão 37675.   Governança de TI - Nível Médio - TRT SE - FCC - 2016,"e) ""Responder aos alertas de eventos de capacidade e solicitar a correção"" é reativa.","d) ""Modelar e analisar tendência de atualização atual e futura dos componentes de TI"" é reativa.",'e',a) é proativa quando o serviço está disponível no Catálogo de Serviços e está em produção.,,"c) ""Prover informações sobre performance para outros processos"" é proativa.",b) reativa pode ocorrer quando o serviço está sendo planejado a partir do Portfólio de Serviços.,"De acordo com a ITIL v3 edição 2011, algumas atividades do Gerenciamento de Capacidade são reativas e outras são proativas durante o ciclo de vida do serviço. A atividade"
Questão 38229.   Governança de TI - Nível Médio - TRE PE - CESPE - 2016,"e) políticas, custos e processos do serviço.","d) custos, arquiteturas e processos do serviço.",'b',"a) arquiteturas, processos e benefícios do serviço.",,"c) custos, benefícios e arquiteturas do serviço.","b) arquiteturas, processos, políticas e documentações do serviço.","Conforme a ITIL, o desenho de serviços de TI deve incluir"
Questão 37676.   Governança de TI - Nível Médio - TRT SE - FCC - 2016,e) II e III.,d) I e II.,'b',a) III e IV,,c) I e IV.,"b) I, II e III.","Considere, por hipótese, que as seguintes tarefas relacionadas à Tecnologia da Informação estão sendo consideradas no Tribunal Regional do Trabalho:

I. Avaliar o uso atual e futuro da Tecnologia da Informação.
II. Orientar a preparação e a implementação de planos e políticas para assegurar que o uso da Tecnologia da Informação atenda aos objetivos do negócio.
III. Monitorar o cumprimento das políticas e o desempenho em relação aos planos.
IV. Coordenar a implantação de um modelo de boas práticas de gestão em todas as instâncias da organização.

Estão de acordo com o conjunto de tarefas definidas pela norma NBR ISO/IEC 38500:2009, que estabelece um modelo para Governança corporativa de TI, APENAS os itens"
