questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 5251.   História - Nível Médio - Detran SE - FUNCAB - 2009,"e) estímulo à implantação de manufaturas de artigos de
consumo imediato.","d) limitação das importações e desenvolvimento de um
programa de eletrificação.",'d',a) estímulos ao desenvolvimento da monocultura.,,"c) forte presença do Banco do Brasil junto aos latifundiários
para explotação do cacau para a exportação.","b) empréstimos financeiros com baixos juros, objetivando a
importação de matrizes para melhorar e incrementar a
pecuária.","Antes da segunda Guerra Mundial a economia brasileira
baseava-se na produção de produtos agrícolas. Com a
guerra, várias medidas visando o desenvolvimento
econômico foram tomadas, entre as quais:
"
Questão 31084.   História - Nível Superior - SEDUC RO - FUNCAB - 2013,"e) por meio do intervencionismo estatal, eles socializaram os meios de produção e extinguiram a sociedade de classes.","d) os dois Estados suprimiram os demais partidos e negaram quaisquer direitos ou liberdades ao indivíduo, totalmente subordinado ao Estado .",'d',"a) embora hostis aos comunistas, Mussolini e Hitler aliaram-se a eles para combater o grande capital.",,"c) nos dois países, o intervencionismo estatal foi barrado pela tradição secular do livre-comércio.",b) ambos utilizaram-se do marxismo como instrumento teórico no combate à grande burguesia industrial e financeira e aos grandes proprietários rurais.,"Ao longo do período compreendido entre o fim do primeiro grande conflito mundial (1918) e o início da segunda guerra mundial (1939), o mundo presenciou a crise das sociedades liberais ocidentais. Surgiram, em vários países europeus, movimentos e partidos hostis ao Estado Liberal e ao socialismo marxista.
Esses partidos chegaram ao poder na Itália (1922) e na Alemanha (1933).

Comparando-se o fascismo italiano e o nazismo alemão, quando estavam no poder, podemos afirmar que:"
Questão 7336.   História - Nível Superior - Polícia Militar SP - VUNESP - 2012,"e) consideravam positiva a ação do Estado em defesa da indústria automobilística, uma marca da Era Vargas.","d) defendiam uma política econômica voltada para a agroexportação, de forma a sustentar a industrialização.",'c',"a) preferiam o autoritarismo de Getúlio ao governo populista e democrático da República Velha
",,c) acabaram se convencendo de que o incentivo à industrialização dependia de uma ativa intervenção do Estado.,"b) reconheceram em Getúlio um representante do liberalismo econômico, defensor do não intervencionismo.","Podemos sintetizar o Estado Novo sob o aspecto socioeconômico, dizendo que representou uma aliança da burocracia civil e militar e da burguesia industrial, cujo objetivo comum imediato era o de promover a industrialização do país sem grandes abalos sociais. 

(Bóris Fausto, História do Brasil)   

Do ponto de vista da burguesia industrial, a aliança com Getúlio Vargas era interessante, pois os industriais"
Questão 15756.   História - Nível Médio - APMBB - VUNESP - 2012,e) o reforço do absolutismo monárquico e as máquinas oriundas das colônias americanas.,d) o poder político exercido pelos calvinistas e a abolição da monarquia.,'a',a) o controle do poder pelo parlamento e os efeitos dos cercamentos de terras.,,c) a expansão da agricultura familiar e o reforço do saber do trabalhador independente.,b) a existência de leis de proteção ao trabalho e a importação de tecnologia francesa.,"A Revolução Industrial inglesa foi precedida por aproximadamente duzentos anos de desenvolvimento econômico e político em que se elaboraram as condições para a implantação de uma sociedade capitalista contemporânea. Fatores políticos e condições históricas se combinaram, detonando o processo pioneiro de industrialização acelerada na Inglaterra (e não em qualquer outro país mercantilista). 
(Carlos Guilherme Mota. História moderna e contemporânea, 1986.)

Podem ser apontadas como condições para o pioneirismo britânico nesse processo"
Questão 36615.   História - Nível Médio - Bombeiro Militar PE - IPAD - 2006,e) grandes partidos nacionais dominaram o cenário político.,d) os presidentes do país foram sempre do estados de São Paulo.,'b',a) a Comissão Verificadora garantia um sistema eleitoral honesto.,,c) a maioria dos estados brasileiros possuía uma forte economia exportadora.,b) foram instituídas medidas de valorização do café.,"A política dos governadores, implementada por Campos Salles, era a base de articulações políticas conhecidas como café-comleite. Sobre este período da história do Brasil, pode-se afirmar que"
Questão 17450.   História - Nível Superior - Polícia Militar PA - UEPA - 2012,e) crescente militarização dessas sociedades e do espírito revanchista contra seus aliados da primeira guerra mundial.,d) temor das elites de uma iminente Revolução Comunista e de sua defesa de um regime político que abolisse a luta de classes.,'d',"a) aliança dos partidos fascistas europeus com os bolcheviques soviéticos, de forma a contrabalançar o poder econômico dos países democráticos.",,"c) crise econômica partilhada com os demais países comunistas, que viam a política colonialista como solução para o declínio econômico.","b) atuação de líderes carismáticos que inspiraram o espírito nacionalista em seus países, inclusive entre suas minorias étnicas.",Facismo e Nazismo foram movimentos políticos que ascenderam ao poder na Itália e na Alemanha dos anos 1920-30 no contexto da depressão econômica do entre-guerras. O clima de radicalismo de direita foi possível nestes países por conta da(o):
Questão 25044.   História - Nível Médio - ENEM - INEP - 2014,e) declínio do regime de monarquia absolutista.,d) triunfo da nação sobre os países africanos.,'a',a) lugar da memória na história nacional.,,c) lembrança da antiguidade da cultura local.,b) caráter espontâneo das festas populares.,"A Praça da Concórdia, antiga Praça Luís XV, é a maior praça pública de Paris. Inaugurada em 1763, tinha em seu centro uma estátua do rei. Situada ao longo do Sena, ela é a intersecção de dois eixos monumentais. Bem nesse cruzamento está o Obelisco de Luxor, decorado com hieróglifos que contam os reinados dos faraós Ramsés II e Ramsés III. Em 1829, foi oferecido pelo vice-rei do Egito ao povo francês e, em 1836, instalado na praça diante de mais de 200 mil espectadores e da família real.

NOBLAT, R. Disponível em: www.oglobo.com. Acesso em: 12 dez. 2012.

A constituição do espaço público da Praça da Concórdia ao longo dos anos manifesta o(a)"
Questão 18065.   História - Nível Superior - Polícia Militar SP - VUNESP - 2014,"e) Manteve­-se ligada institucionalmente ao Exército bra­sileiro, o que explica sua força e constantes reforços de efetivo.","d) Constituiu-­se ao longo do período num pequeno exérci­to, dando força ao poder político de São Paulo no plano nacional.",'d',a) Constituiu uma força despreparada e destreinada con­tando com menos de 2 000 homens.,,"c) Sofreu inúmeras alterações em seu nome, chegando a Força Pública somente no final da década de 1920.","b) Nesse período, deixou de participar de grandes campa­nhas, dada a nova organização política pós ­1889.","Sobre a Força Pública na Primeira República brasileira, assinale a alternativa correta."
Questão 6369.   História - Nível Médio - EsSA - EB - 2011,e) Revolução Pernambucana.,d) Revolta dos Alfaiates.,'e',a) Revolução Liberal.,,c) Confederação do Equador.,b) Cabanagem.,"No ano de 1817, na Província de Pernambuco, deu-se uma revolta contra o governo de D. João VI que ficou conhecida como

"
Questão 4886.   História - Nível Médio - EsSA - EB - 2013,e) o Tratado do Pardo reconheceu o direito exclusivo de Portugal navegar pelo rio Amazonas.,"d) o Tratado de Utrecht, de 1713, reconheceu a posse da Colônia de Sacramento por Portugal.",'a',a) o Tratado de Madri deu origem às Guerras Guaraníticas.,,"c) Portugal, pelo Tratado de Badajós, assumiu o controle sobre o território da Guiana.","b) ficou estabelecido, no Tratado de Santo Ildefonso, o princípio de Uti possidetis.","Ao longo dos séculos XVI, XVII e XVIII o Brasil estendeu consideravelmente seu território, o que obrigou o estabelecimento de novos Tratados de Limites entre os Reinos Ibéricos. Neste sentido, podemos afirmar que"
