questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 3438.   Informática - Nível Médio - UESPI - NUCEPE - 2012,e) Serial,d) PS2,'b',a) Paralela,,c) IDE,b) USB,"Qual a porta que devemos conectar um HD (hard-disk)
externo, para que possamos realizar um backup das
informações do sistema Windows?

"
Questão 30650.   Informática - Nível Superior - DATAPREV - QUADRIX - 2014,"e) Create, Read, Update, Delete.","d) Create, Read, Unlock, Detect.",'e',"a) Create, Reably, Uptime, Deflet.",,"c) Crisys, Reason, Unload, Delete.","b) Cry, Read, Upload, Detect.",Aplicações que se utilizam de banco de dados administrados por SGBD necessitam realizar operações básicas para a manipulação de dados. Dentre essas operações há o que chamamos de CRUD. Qual alternativa descreve as operações dessa abreviação?
Questão 35658.   Informática - Nível Médio - IFPB - BD - 2015,e) É impossível gerar um PDF a partir de um documento no LibreOffice sem a instalação de um software adicional.,d) O aplicativo Impress não suporta o recurso de animações na transição de slides.,'c',a) O Writer é o aplicativo da suíte Office responsável pela edição de texto.,,c) O Excel é o principal aplicativo de planilha eletrônica da suíte de escritório da Microsoft.,b) O aplicativo PowerPoint pertence à suíte Office e é responsável pela criação e edição de planilhas eletrônicas.,"Sobre as suítes de escritório Office e LibreOffice, assinale a alternativa CORRETA:"
Questão 34700.   Informática - Nível Médio - TRT RJ - FCC - 2014,e) -s.,d) -d.,'b',a) -a.,,c) -x.,b) -e.,"José, técnico administrador dos computadores com sistema operacional Linux do TRT da 1a Região, deve criar uma nova conta temporária para o usuário Mauro, que realizará um estágio de três meses. Utilizando o comando useradd para criar a conta, e para estabelecer a data em que a conta deve ser desabilitada, deve utilizar a opção"
Questão 27188.   Informática - Nível Médio - Prefeitura de Amontada CE - UECE CEV - 2016,,d) 126.,'a',a) 14.,,c) 62.,b) 30.,"Uma rede local de endereço IP 192.168.112.0 com sub-máscara 255.255.255.0 foi dividida em 10 sub-redes com máscara de sub-rede 255.255.255.240.

O número de endereços IP disponíveis para equipamentos (hosts) em cada sub-rede é igual a"
Questão 1474.   Informática - Nível Médio - MPU - FCC,e) Cco e disquete.,d) navegador e disco rígido.,'e',a) Cc e pen-drive.," Instruções: Para responder às questões, considere as informações abaixo.

OBJETIVO:

O Ministério Público do Governo Federal de um país deseja modernizar
seu ambiente tecnológico de informática. Para tanto, adquirirá equipamentos
de computação eletrônica avançados e redefinirá seus sistemas
de computação a fim de agilizar seus processos internos e também
melhorar seu relacionamento com a sociedade.

REQUISITOS PARA ATENDER AO OBJETIVO:

§1o − O ambiente de rede de computadores, para troca de informações
exclusivamente internas do Ministério, deverá usar a mesma tecnologia
da rede mundial de computadores.

§2o − O acesso a determinadas informações somente poderá ser feito
por pessoas autorizadas.

§3o − Os funcionários poderão se comunicar através de um serviço de
conversação eletrônica em modo instantâneo (tempo real).

§4o − A comunicação eletrônica também poderá ser feita via internet no
modo não instantâneo.

§5o − Para garantir a recuperação em caso de sinistro, as informações
deverão ser copiadas em mídias digitais e guardadas em locais
seguros.

§6o − Os textos elaborados em editores eletrônicos deverão estar corretos
tanto sintática quanto ortograficamente e os parágrafos deverão
estar devidamente justificados, com exceção dos títulos, que deverão
ser centralizados.

§7o − As planilhas de cálculo deverão totalizar todas as colunas de valores.Exemplo:




§8o − Os arquivos anexados às mensagens recebidas por meio de correio
eletrônico, em cópia oculta, deverão ser salvos em uma pasta do
computador local com identificação de Nome, Tamanho, Tipo e Data de
modificação, bem como copiados em mídia removível, que será
entregue ao supervisor do departamento.",c) impressora e scanner.,b) e-mail e chat.,"São termos e elementos que podem ser observados
mediante entendimento dos requisitos especificados no
§8o:
"
Questão 35356.   Informática - Nível Superior - IFMA - BD - 2009,e) o somatório de valores configurados com formato de porcentagem terá como resultado padrão um valor configurado com formato de porcentagem.,d) elas não são capazes de manipular dados no formato moeda.,'e',a) o somatório de valores configurados com formato de data terá como resultado padrão um valor inteiro.,,c) o somatório de números negativos terá como resultado um número positivo.,b) elas só permitem a manipulação de números inteiros.,"Os aplicativos de planilhas eletrônicas mais utilizados no mercado disponibilizam ferramentas capazes de calcular a média ou o somatório dos elementos de uma determinada coluna. Com relação a estas ferramentas, é correto afirmar que:"
Questão 12479.   Informática - Nível Superior - SEFAZ PI - FCC - 2015,e) o relacionamento estabelecido entre as tabelas possui grau muitos-para-muitos.,d) a tabela Departamento não possui chave primária.,'a',a) a tabela Funcionário possui chave primária e chave estrangeira.,,"c) na tabela Funcionário, o campo chave estrangeira é IdFunc.",b) um departamento só poderá ser cadastrado se antes já tiver um funcionário cadastrado nele.,É correto afirmar que
Questão 2015.   Informática - Nível Médio - DEPEN - FUNRIO - 2009,e) soma de valores das células A1 e B2 menos B3,"d) soma de valores das células A1, A2, B1, B2 e B3
",'d',"a) soma de valores das células A1, B2 e B3",,c) soma de valores das células A1dividido por B2 mais B3,b) soma de valores das células A1 e B3 dividido por B2,"Nos programas de planilhas eletrônicas, como BR Office Calc e Microsoft Excel, qual o cálculo feito pela fórmula
SOMA(A1:B2;B3)?
"
Questão 32553.   Informática - Nível Superior - DESENBAHIA - AOCP - 2009,e) O sistema hiberna.,d) Reiniciar o sistema.,'d',a) Desligar o monitor.,,c) Desligar os discos rígidos.,b) Sistema em espera.,"Em relação ao Microsoft Windows XP Service Pack 2, instalação padrão, português Brasil, assinale a alternativa que NÃO corresponde a uma opção de configuração no esquema de energia Casa/Escritório, existente nas propriedades de opções de energia dentro das propriedades de vídeo."
