questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 11545.   Administração Financeira e Orçamentária - Nível Superior - SEJUS DF - FUNIVERSA - 2010,e) dívida flutuante.,"d) restos a pagar processados.
",'d',"a) dívida ativa.
",,"c) restos a pagar não processados.
","b) despesas de exercícios anteriores.
","As despesas empenhadas, liquidadas e não pagas até o término do exercício correspondem a"
Questão 15143.   Agronomia - Nível Superior - Prefeitura de Paulista PE - UPENET - 2014,e) 9,d) 5,'b',a) 10,,c) 3,b) 6,"A utilização da cartografia pelo homem é muito antiga. Dos primeiros mapas conhecidos que eram bastante rudimentares até chegarmos ao Google Earth e ao GPS, muita coisa mudou. A tecnologia alterou processos e métodos utilizados para a elaboração de cartas e mapas. Nesse contexto, identifique as afirmativas CORRETAS e dê sua soma ao final.

(01) O avanço das tecnologias: sensoriamento remoto, radares, fotos aéreas, dentre outras, permitiu que os mapas ficassem cada vez mais precisos, trazendo uma nova dimensão à cartografia.

(02) Apesar de todas as inovações tecnológicas aplicadas à cartografia, vale destacar que não existe uma representação perfeita, que traduza fielmente o real. Toda representação em duas dimensões apresenta problemas técnicos, como distorção da área cartografada.

(03) A projeção de Peters, elaborada pelo professor alemão Arno Peters no século XX (1973), por manter a proporcionalidade das áreas, passa, segundo alguns analistas, uma ideia de igualdade, valorizando as nações pobres e quebrando a visão de superioridade das nações ricas.

(04) A projeção de Mercator valorizou as terras do continente europeu no momento da expansão mercantil e colonial europeia e, durante alguns séculos, serviu à visão da Europa como centro do mundo ou ao eurocentrismo. Por não apresentar distorções nas áreas, a projeção Mercator é a que representa fielmente o real."
Questão 17840.   Geografia - Nível Médio - Polícia Militar CE - CESPE - 2012,,,'b',Certo,,,Errado,"A respeito dos aspectos físicos do território brasileiro, julgue os itens seguintes.

As áreas conhecidas como mares de morros são assim denominadas em razão de sua localização, nas terras altas da Amazônia."
Questão 11822.   Biblioteconomia - Nível Superior - Prefeitura de Florianópolis SC - FGV - 2014,e) biblioteconômica,d) econômica,'c',a) cultural,,c) política,b) social,"Entre as vantagens existentes numa rede de referência virtual, aquela que permite dividir de modo mais eficiente o trabalho entre bibliotecas e serviços de informação é um tipo de vantagem:"
Questão 22788.   Atualidades - Nível Superior - Casa Civil SP - FCC - 2010,"e) novembro, quando foram realizadas eleições presidenciais em Honduras, sob supervisão da embaixada brasileira.","d) outubro, quando foi determinada a extradição do italiano Cesare Battisti.",'b',"a) novembro, quando o Itamaraty fez lobby interna- cional pelas Olimpíadas ? Rio 2016.",,"c) outubro, quando o Itamaraty concordou com a ma- nutenção dos subsídios agrícolas da União Europeia.","b) novembro, quando o presidente Mahmoud Ahmadinejad, do Irã, visitou o Brasil.","Em termos de política externa brasileira, uma atuação do Brasil, bastante criticada pelas imprensas nacionais e in- ternacionais, no ano de 2009, ocorreu em"
Questão 20118.   Administração - Nível Médio - ANCINE - CESPE - 2012,,,'b',Certo,,,Errado,"A administração pública burocrática

adota sistemas de controle e gestão centrados em resultados e não em procedimentos."
Questão 2188.   Direito do Trabalho - Nível Superior - TRT - FCC,e) doze até dezesseis anos.,d) doze até dezoito anos.,'a',a) quatorze até dezoito anos.,,c) quatorze até dezesseis anos.,b) dezesseis até dezoito anos.,"Considera-se menor, para os efeitos de proteção ao trabalho do menor previsto na Consolidação das Leis do Trabalho, o trabalhador de

    
"
Questão 21462.   Inglês - Nível Superior - BACEN - CESPE - 2013,,,'a',Certo,"     Recent corporate collapses, such as EBS International and Société Générale, have brought about renewed scrutiny into corporate governance mechanisms. Given the pervasiveness of Information Technology (IT) in many organizations, the examination of corporate governance mechanisms also includes IT governance mechanisms. IT governance is defined as a structure of relationships and processes to direct and control the enterprise in order to achieve the enterprises goals by adding value while balancing risk versus return over IT and its processes.
    In light of increased public awareness, professional bodies such as the Information Systems Audit and Control Association (ISACA) have undertaken a number of steps to provide guidance in the implementation of effective IT governance. The approach taken by ISACA appears to be largely based upon two concepts. The first concept relates to increasing the awareness of issues and concepts relating to IT governance in the public domain. The second concept involves the provision of guidelines and the identification of best-practice IT governance mechanisms. Interestingly, the effectiveness of these best-practice mechanisms in improving IT governance is largely based upon conceptual arguments. As such, it becomes important to ascertain if these best-practice mechanisms do impact upon the level of IT governance.
    As IT escalates in terms of importance and pervasiveness in the operations of firms, it is inexorably tied to specific mechanisms that are prescribed for good corporate governance, most notably, a sound system of internal controls. Accordingly, effective IT governance is a critical underpinning for a system of good corporate governance that minimizes agency losses for a firm.

Internet: < http://onlinelibrary.wiley.com > (adapted).

Based on the text above, judge the following item. ",,Errado,"IT governance mechanisms contribute toward an increased level of overall effective IT governance.
"
Questão 17501.   História - Nível Médio - Polícia Militar ES - CESPE - 2010,,,'b',Certo,,,Errado,"No que se refere ao processo histórico europeu a partir do período medieval, julgue os itens seguintes.

A economia medieval europeia assentava-se na agricultura de mercado, produzindo excedentes a serem comercializados mediante grandes lucros."
Questão 31931.   Arquivologia - Nível Médio - CRO GO - QUADRIX - 2013,e) somente I e II.,"d) I, II e III.",'d',a) somente I.,,c) somente I e III.,b) somente II.,"Em meados do século XX, em decorrência do progresso científico e tecnológico alcançado pela humanidade, a produção de documentos cresceu a níveis tão elevados que houve a necessidade de se buscar novas soluções para gerir as grandes massas documentais. A gestão de documentos são conjuntos de procedimentos e operações técnicas referentes à produção, tramitação, uso, avaliação e arquivamento dos documentos. Dessa conceituação podemos destacar as três fases básicas da gestão de documentos: a produção, a utilização e a destinação. Com relação a essas fases, analise as afirmativas.

I. Produção de documentos: refere-se à elaboração dos documentos em decorrência das atividades de um órgão ou setor.
II. Utilização de documentos: essa fase inclui as atividades de protocolo (recebimento, classificação, registro, distribuição, tramitação), de expedição, de organização e arquivamento de documentos em fase corrente e intermediária, bem como a elaboração de normas de acesso à documentação (empréstimo, consulta) e à recuperação de informações, indispensáveis ao desenvolvimento de funções administrativas, técnicas ou científicas das instituições.
III. Avaliação e destinação de documentos: desenvolver-se mediante a análise e avaliação dos documentos acumulados nos arquivos, com vistas a estabelecer seus prazos de guarda, determinando quais serão objeto de arquivamento permanente e quais deverão ser eliminados por terem perdido seu valor de prova e de informação para a instituição.

Está correto o que se afirma em:"
