questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 7271.   Português - Nível Médio - Metrô SP - FCC - 2013,e) A população mundial (...) ganhará 2 bilhões de habitantes até 2050.,"d) a segunda revolução já está em curso. 
",'b',"a) A primeira é o melhoramento genético convencional. 
","    A população mundial, que superou a marca de 7 bilhões
de pessoas, ganhará 2 bilhões de habitantes até 2050. A necessidade
de nutrir 9 bilhões de bocas significa que a produção de
comida terá de dobrar nos próximos quarenta anos, segundo
projeções da Organização das Nações Unidas para Agricultura
e Alimentação (FAO). Como há relativamente poucas fronteiras
aráveis novas para serem exploradas pela agricultura, os
fazendeiros mundiais terão de, praticamente, dobrar a produção
de áreas usadas atualmente. A resposta a esse desafio exigirá
uma nova revolução verde, similar à da década de 60, quando
houve um salto na produtividade graças à utilização de
defensivos, fertilizantes e técnicas modernas de plantio. Para
muitos especialistas, a segunda revolução já está em curso.

    O consumo de proteína tem crescido rapidamente nos
grandes países em desenvolvimento, principalmente na Índia e
na China, mas, segundo o zoólogo escocês Hugh Grant, será
possível suprir essa demanda. Ele diz que isso dependerá da
redução do desperdício e também da modernização da agricultura
nos países mais atrasados. Dependerá também dos avanços
na biotecnologia, em duas frentes. A primeira é o melhoramento
genético convencional por meio de cruzamentos das
espécies existentes e da seleção de sementes mais produtivas.
A segunda é o desenvolvimento de sementes transgênicas, com
variedades com mais nutrientes ou mais resistentes às secas,
de modo a manter afastados das lavouras os predadores e as
ervas daninhas.

(Adaptado de: Giuliano Guandalini. Veja, 21 de dezembro de
2011, p. 170-171)","c) há relativamente poucas fronteiras aráveis novas. 
","b) será possível suprir essa demanda. 
","Ele diz que isso dependerá da redução do desperdício e também da modernização da agricultura nos países mais atrasados. (2o parágrafo) 

O emprego do pronome grifado acima evita a repetição, no texto, do segmento:"
Questão 24267.   Português - Nível Superior - CFP - QUADRIX - 2016,"e) Fica claro que a intenção de Clarice Lispector é discorrer um pouco sobre a condição humana que domina a todos nós. Nessa perspectiva, a autora consegue entender que qualquer cidadão, dadas as condições para tanto, poderia se tornar um ""facínora"". Julga, porém, que, ainda assim, é muito justo haver sempre uma força exterior que o elimine.","d) Ao repassar, no texto, todos os tiros com que Mineirinho foi assassinado, Clarice Lispector tende a sentir compaixão do homem morto e a se aproximar de sua figura, como que se fundindo a ele, no entanto sua argumentação se dirige no sentido de mostrar como, apesar desse sentimento, ela se sentia confortável, protegida e resguardada pela atitude da polícia.",'a',"a) Por meio da metáfora de ""casa"", Clarice Lispector procura refletir sobre o funcionamento da sociedade em que está inserida e coloca no elemento ""sonsos essenciais"" a força que a mantém funcional. A postura da autora, no entanto, não é de simples análise, mas de forte e aguda crítica, explicando como e em que, a seu ver, a sociedade falha e engana."," Mineirinho

    É, suponho que é em mim, como um dos representantes de nós, que devo procurar por que está doendo a morte de um facínora. E por que é que mais me adianta contar os treze tiros que mataram Mineirinho do que os seus crimes. Perguntei a minha cozinheira o que pensava sobre o assunto. Vi no seu rosto a pequena convulsão de um conflito, o mal-estar de não entender o que se sente, o de precisar trair sensações contraditórias por não saber como harmonizá-las. Fatos irredutíveis, mas revolta irredutível também, a violenta compaixão da revolta. Sentir-se dividido na própria perplexidade diante de não poder esquecer que Mineirinho era perigoso e já matara demais; e no entanto nós o queríamos vivo. [...]

    Mas há alguma coisa que, se me faz ouvir o primeiro e o segundo tiro com um alívio de segurança, no terceiro me deixa alerta, no quarto desassossegada, o quinto e o sexto me cobrem de vergonha, o sétimo e o oitavo eu ouço com o coração batendo de horror, no nono e no décimo minha boca está trêmula, no décimo primeiro digo em espanto o nome de Deus, no décimo segundo chamo meu irmão. O décimo terceiro tiro me assassina  porque eu sou o outro. Porque eu quero ser o outro.

    Essa justiça que vela meu sono, eu a repudio, humilhada por precisar dela. Enquanto isso durmo e falsamente me salvo. Nós, os sonsos essenciais. Para que minha casa funcione, exijo de mim como primeiro dever que eu seja sonsa, que eu não exerça a minha revolta e o meu amor, guardados. Se eu não for sonsa, minha casa estremece. [...]

    Em Mineirinho se rebentou o meu modo de viver. [...] Sua assustada violência. Sua violência inocente  não nas consequências, mas em si inocente como a de um filho de quem o pai não tomou conta. Tudo o que nele foi violência é em nós furtivo, e um evita o olhar do outro para não corrermos o risco de nos entendermos. Para que a casa não estremeça. A violência rebentada em Mineirinho que só outra mão de homem, a mão da esperança, pousando sobre sua cabeça aturdida e doente, poderia aplacar e fazer com que seus olhos surpreendidos se erguessem e enfim se enchessem de lágrimas. [...]

    A justiça prévia, essa não me envergonharia. Já era tempo de, com ironia ou não, sermos mais divinos; se adivinhamos o que seria a bondade de Deus é porque adivinhamos em nós a bondade, aquela que vê o homem antes de ele ser um doente do crime. Continuo, porém, esperando que Deus seja o pai, quando sei que um homem pode ser o pai de outro homem. E continuo a morar na casa fraca. Essa casa, cuja porta protetora eu tranco tão bem, essa casa não resistirá à primeira ventania que fará voar pelos ares uma porta trancada. [...] o que me sustenta é saber que sempre fabricarei um deus à imagem do que eu precisar para dormir tranquila e que outros furtivamente fingirão que estamos todos certos e que nada há a fazer. [...] Feito doidos, nós o conhecemos, a esse homem morto onde a grama de radium se incendiara. Mas só feito doidos, e não como sonsos, o conhecemos. [...]

    Até que viesse uma justiça um pouco mais doida. Uma que levasse em conta que todos temos que falar por um homem que se desesperou porque neste a fala humana já falhou, ele já é tão mudo que só o bruto grito desarticulado serve de sinalização. Uma justiça prévia que se lembrasse de que nossa grande luta é a do medo, e que um homem que mata muito é porque teve muito medo. Sobretudo uma justiça que se olhasse a si própria, e que visse que nós todos, lama viva, somos escuros, e por isso nem mesmo a maldade de um homem pode ser entregue à maldade de outro homem: para que este não possa cometer livre e aprovadamente um crime de fuzilamento.

    Uma justiça que não se esqueça de que nós todos somos perigosos, e que na hora em que o justiceiro mata, ele não está mais nos protegendo nem querendo eliminar um criminoso, ele está cometendo o seu crime particular, um longamente guardado. [...]

Clarice Lispector

(Disponível em ip.usp.br. Adaptado.)","c) A justiça que Clarice Lispector chama de ""prévia"", pelo que se pode depreender do texto, nada tem que ver com a questão social. A dita ""justiça prévia"", na opinião da autora, teria existido caso o bandido Mineirinho tivesse sido capturado, condenado e morto antes de praticar todos os crimes que cometeu. É nessa falha da justiça que reside a crítica contida no texto.","b) Ao falar de ""doidos"", Clarice Lispector identifica as personagens que, segundo ela, seriam as responsáveis por mudar o modo como a sociedade se organiza, analisando os fatos sociais de maneira diferente daquela com que analisam os ""sonsos"". A autora, no entanto, procura distanciar-se ao máximo da figura de ""doida"" e mostra como se sente confortável enquanto ""sonsa"".","Ao escrever a crônica ""Mineirinho"", publicada pela primeira vez em junho de 1962 na revista Senhor, Clarice Lispector tinha uma intenção, bastante clara e muito perceptível na leitura, de expor sua contundente opinião sobre o assassinato dum famoso criminoso da época conhecido como Mineirinho. A respeito desses objetivos, como estes podem ser depreendidos da leitura da crônica, analise as alternativas a seguir e assinale a que estiver totalmente correta."
Questão 32295.   Português - Nível Médio - CRQ 1ª Região (PE) - IDHTEC - 2015,e) A alguém sem pernas.,d) A si mesmo.,'a',a) A um abismo.," ABYSSUS

Bela e traidora! Beijas e assassinas...
Quem te vê não tem forças que te oponha:
Ama-te, e dorme no teu seio, e sonha,
E, quando acorda, acorda feito em ruínas...
Seduzes, e convidas, e fascinas,
Como o abismo que, pérfido, a medonha
Fauce apresenta flórida e risonha,
Tapetada de rosas e boninas.
O viajor, vendo as flores, fatigado
Foge o sol, e, deixando a estrada poenta,
Avança incauto... Súbito, esbroado,
Falta-lhe o solo aos pés: recua e corre,
Vacila e grita, luta e se ensanguenta,
E rola, e tomba, e se espedaça, e morre...

OLAVO BILAC
In Poesias (Sarças de Fogo), 1888.",c) Ao dia.,b) Ao sol.,"No poema, o eu lírico compara a mulher:"
Questão 34880.   Português - Nível Superior - IFSUL MG - BD - 2016,,d) Sintetizar as novas informações constantes no parágrafo seguinte.,'a',a) Indicar a retomada de informações introduzidas previamente em outras passagens do texto.," Vício em internet: quando o acesso à web se torna uma doença

      Acredite ou não: o conceito de dependência em internet começou como uma piada. Em 1995, o psiquiatra norte-americano Ivan Goldberg publicou um artigo satírico em seu site pessoal no qual ele descrevia um problema recém-descoberto e batizado como IAD (sigla para Internet Addiction Disorder, ou Desordem do Vício em Internet).
      O que Goldberg não imaginava era que a imprensa e a comunidade científica passariam a tratar o IAD como um problema real, usando como gancho os rápidos avanços tecnológicos ocorridos na década de 90. Com o advento dos navegadores, buscadores e computadores pessoais, era natural que tal assunto chamasse atenção até mesmo dos leigos.
      Ainda que não seja mencionado na versão mais recente do Manual Diagnóstico e Estatístico de Transtornos Mentais (DSM-5, datado de 2013), os profissionais de psiquiatria e psicologia do mundo inteiro são unânimes: o vício em internet existe e é uma doença bastante perigosa. Hoje em dia temos milhares de casos em todo o planeta, incluindo no Brasil, onde ainda é bastante difícil encontrar tratamento especializado para quem sofre desse mal.
      Assim como outros transtornos psicológicos, a dependência em internet pode afetar qualquer pessoa, mas alguns indivíduos possuem maior predisposição a desenvolverem a doença. De acordo com a psicóloga Daniela Faertes, especialista em mudança de comportamento, pessoas introvertidas e que têm dificuldades em manter relações interpessoais são as que possuem maior tendência a se tornarem viciadas.
      Os fanáticos pela internet geralmente são afetados por problemas pessoais ou familiares, incluindo bullying, exclusão social, frustrações profissionais, conturbações no casamento e até mesmo dificuldades financeiras. Tendo isso em mente, o acesso frenético à internet pode ser entendido como uma válvula de escape desse indivíduo  um local confortável que acaba tomando o lugar do mundo real.
      Para Daniela Faertes, é necessário que haja um autocontrole dos horários em que se acessa a internet e utiliza o telefone celular. Uma das grandes questões é que, mesmo não sendo dependente, a internet provoca uma percepção distorcida da passagem do tempo e, como a gama de assuntos que pode ser acessada por ela é infinita, é necessário colocar um limite pessoal, observa.

   Disponível em:  . Acesso em: 30 abr 2016 (com adaptações). ",c) Apresentar um cenário em cujo interior informações subsequentes devem ser interpretadas.,"b) Sinalizar as relações (temporais, causais, adversativas, por exemplo) existentes entre blocos de informações.",As expressões destacadas dos trechos no qual ele descrevia um problema e para quem sofre desse mal pertencem a uma categoria de palavras da língua que têm por função:
Questão 4133.   Português - Nível Médio - Bombeiro Militar RJ - FUNRIO - 2008,e) foram românticas e hoje não o são.,d) serão menos românticas do que hoje são.,'e',a) serão tão românticas como nunca o foram.," TEXTO 3

Papel quadriculado
Um dia é melhor somar,
no outro é subtrair.
Tem vez de multiplicar,
tem hora de dividir.
Nossa vida é uma conta
num papel quadriculado,
tem gente que fica tonta,
sem chegar ao resultado.
Se o problema é complicado,
de difícil solução,
é melhor não dar um passo
sem ouvir o coração.
(AZEVEDO, Ricardo. Livro de papel. São Paulo: Ed. do Brasil, 2001. p. 46-47.)

TEXTO 4

No ano 3000
No ano 3000
os homens já vão ter
se cansado das máquinas
e as casas serão novamente românticas.
O tempo vai-se usando sem pressa:
gerânios enfeitarão as janelas,
amigos escreverão longas cartas.
Cientistas inventarão novamente
o bonde, a charrete.
Pianos de cauda encherão as tardes de música,
e a terra flutuará no céu
muito mais leve, muito mais leve.
(MURRAY, Roseana. Casas. Belo Horizonte:Formato, 1994)",c) poderão vir a ser românticas como são hoje.,b) deixarão de ser românticas como são hoje.,"Do verso as casas serão novamente românticas, presume-se que as casas, um dia:
"
Questão 27801.   Português - Nível Médio - Câmara de Jaboticabal SP - VUNESP - 2015,"e) podem ser antiestressantes, mas não têm poder terapêutico.",d) despertam os estímulos visuais atrapalhando o funcionamento cerebral.,'e',"a) despertam sensações físicas, o que aumenta o volume de vendas.","      Esqueça os livros de autoajuda. A grande sensação do mercado editorial no momento é O jardim secreto: livro de colorir e caça ao tesouro antiestresse, da britânica Johanna Basford. O sucesso por aqui acompanha os números registrados em outros países: na Amazon, O jardim secreto é o mais vendido na categoria livros.
     Diferentemente dos livros infantis, os de adultos têm padrões mais complexos, com temas que variam de jardins a mandalas. Para explicar o sucesso que eles fazem, há uma tese que, por enquanto, parece ser a mais aceita: a de que eles funcionam como uma espécie de detox"", uma válvula de escape para rotinas estressantes. Ao se concentrarem em colorir direito e em escolher as cores, as pessoas, de fato, parecem esquecer os problemas do dia.
     Além disso, o sentimento de orgulho ou satisfação por completar a pintura e observar como ficou bonita é também outra explicação possível, já que os livros ativam o circuito de recompensa do cérebro, o sistema responsável pela sensação de prazer. Se estimulado, ele libera dopamina, um neurotransmissor que provoca o sentimento de bem-estar. Quando se trabalha com cores, o resultado é ainda melhor, porque elas podem provocar diversas sensações, como calor, frio e tranquilidade.
     Embora causem uma sensação de prazer e bem-estar, os livros não podem ser encarados como terapia, conforme explicam os arteterapeutas Ana Carmen Nogueira e Alexandre Almeida. Na arteterapia, há um assunto específico a ser trabalhado e usamos diferentes linguagens, como pintura ou desenho, para que a pessoa possa se expressar. Os livros de colorir não são terapia, mas são relaxantes porque ajudam a proporcionar um momento de pura concentração"", afirmam. Ou seja, os livros podem até funcionar como um analgésico para situações de estresse, mas não têm nenhum poder milagroso para curar problemas como depressão e ansiedade.

(Galileu, maio de 2015. Adaptado)",c) trabalham com linguagens diversas e melhoram a expressão do autor.,b) funcionam como analgésicos e chegam a curar doenças mentais.,"Segundo os arteterapeutas, os livros de colorir"
Questão 3065.   Português - Nível Fundamental - Marinha do Brasil - MB - 2005,e) Ficaram ,d) Estava ,'b',a) Os , ,c) ,b) Houve ,Assinale a alternativa em que o termo destacado NÃO é o sujeito da oração.
Questão 29077.   Português - Nível Médio - Prefeitura de Belo Horizonte MG - FUMARC - 2014,,"d) Sendo mais tosca a matéria-prima que chega, em qualquer lugar do mundo [...].",'c',a) E escola deve confrontar seus alunos com problemas intrigantes e inspiradores.," ESCOLA IDEAL PARA ALUNOS NÃO IDEAIS

Cláudio de Moura Castro

Na segunda metade do século XIX, dom Pedro II transformou a primeira escola pública secundária do Brasil em um modelo inspirado no colégio Louis Le Grand, reputado como o melhor da França. Mantiveram-se na sua réplica brasileira as exigências acadêmicas do modelo original. O próprio dom Pedro selecionava os professores, costumava assistir a aulas e arguir os alunos. Sendo assim, o colégio que, mais adiante, ganhou o seu nome constituiu-se em um primoroso modelo para a educação das elites brasileiras. Dele descendem algumas excelentes escolas privadas.

Mais tarde do que seria desejável, o ensino brasileiro se expande, sobretudo no último meio século. Como é inevitável, passa a receber alunos de origem mais modesta e sem o ambiente educacional familiar que facilita o bom desempenho. Sendo mais tosca a matéria-prima que chega, em qualquer lugar do mundo não se podem esperar resultados equivalentes com o mesmo modelo elitista.

Os países de Primeiro Mundo perceberam isso e criaram alternativas, sobretudo no ensino médio. A melhor escola é aquela que toma alunos reais - e não imaginários - e faz com que atinjam o máximo do seu potencial. Se os alunos chegam a determinado nível escolar com pouco preparo, o pior cenário é tentar ensinar o que não conseguirão aprender. O conhecimento empaca e a frustração dispara.

Voltemos a 1917, às conferências de Whitehead em Harvard. Para ele, o que quer que seja ensinado, que o seja em profundidade. Segue daí que é preciso ensinar bem o que esteja ao alcance dos alunos, e não inundá-los com uma enxurrada de informações e conhecimentos. Ouvir falar de teorias não serve para nada. O que se aprende na escola tem de ser útil na vida real.

Se mesmo os melhores alunos das nossas melhores escolas são entulhados com mais do que conseguem digerir, e os demais, os alunos médios? Como suas escolas mimetizam as escolas de elite, a situação é grotesca. Ensina-se demais e eles aprendem de menos. Pelos números da Prova Brasil, pouco mais de 10% dos jovens que terminam o nível médio têm o conhecimento esperado em matemática! A escola está descalibrada do aluno real.

Aquela velha escola de elite deve permanecer, pois há quem possa se beneficiar dela. Mas, como fizeram os países educacionalmente maduros, respondendo a uma época de matrícula quase universal, é preciso criar escolas voltadas para o leque variado de alunos.

Nessa nova escola, os currículos e ementas precisam ser ajustados aos alunos, pois o contrário é uma quimera nociva. Na prática, devem-se podar conteúdos, sem dó nem piedade. É preciso mostrar para que serve o que está sendo aprendido. Ainda mais importante, é preciso aplicar o que foi aprendido, pois só aprendemos quando aplicamos. A escola deve confrontar seus alunos com problemas intrigantes e inspiradores. E deve apoiá-los e desafiá-los para que os enfrentem. No entanto, sem encolher a quantidade de matérias, não há tempo para mergulhar em profundidade no que quer que seja.

Atenção! Não se trata de uma escola aguada em que se exige menos e todos se esforçam menos. Sabemos que bons resultados estão associados a escolas que esperam muito de seus alunos, que acreditam neles. A diferença é que se vai exigir o que tem sentido na vida do estudante e está dentro do que realisticamente ele pode dominar. Precisamos redesenhar uma escola voltada para os nossos alunos, e não para miragens e sonhos. Quem fará essa escola? [...]

Revista Veja, 05 fev. 2014 (adaptado).",c) Não se trata de uma escola aguada em que se exige menos [...].,b) Mantiveram-se na sua réplica brasileira as exigências acadêmicas do modelo original.,O autor faz uso de palavra em sentido figurado em
Questão 810.   Português - Nível Médio - TJ DF - CESPE,,,'b',Certo,"      Agora olhavam as lojas, as toldas, a mesa do leilão. E conferenciavam pasmados. Tinham percebido que
havia muitas pessoas no mundo. Ocupavam-se em descobrir uma enorme quantidade de objetos. Comunicaram
baixinho um ao outro as surpresas que os enchiam. Impossível imaginar tantas maravilhas juntas. O menino mais
novo teve uma dúvida e apresentou-a timidamente ao irmão. Seria que aquilo tinha sido feito por gente? O menino
mais velho hesitou, espiou as lojas, as toldas iluminadas, as moças bem vestidas. Encolheu os ombros. Talvez aquilo
tivesse sido feito por gente. Nova dificuldade chegou-lhe ao espírito, soprou-a no ouvido do irmão. Provavelmente
aquelas coisas tinham nomes. O menino mais novo interrogou-o com os olhos. Sim, com certeza as preciosidades
que se exibiam nos altares da igreja e nas prateleiras das lojas tinham nomes. Puseram-se a discutir a questão
intrincada. Como podiam os homens guardar tantas palavras? Era impossível, ninguém conservaria tão grande soma
de conhecimentos. Livres dos nomes, as coisas ficavam distantes, misteriosas. Não tinham sido feitas por gente.
E os indivíduos que mexiam nelas cometiam imprudência. Vistas de longe, eram bonitas. Admirados e medrosos,
falavam baixo para não desencadear as forças estranhas que elas porventura encerrassem.

Graciliano Ramos. Vidas secas. São Paulo: Martins, 1972, p.125.

No texto apresentado acima, dois personagens do romance Vidas Secas, o menino mais velho e o menino mais novo, deixam a fazenda em que seu pai trabalhava como vaqueiro, para irem à festa de Natal em uma pequena cidade.

Com base nessas informações e no fragmento do texto de Graciliano Ramos, julgue os itens subsequentes.",,Errado,"No trecho ""Talvez aquilo tivesse sido feito por gente"" (L.5-6), o verbo concorda com ""gente"", sujeito da oração na voz passiva."
Questão 2933.   Português - Nível Fundamental - Comlurb - CESGRANRIO - 2009,e) falava de um mundo que não existe mais.,d) comoveu pelo menos uma pessoa.,'d',a) foi ele que deu sentido à vida da avó., ,c) era muito antigo e cheio de histórias.,b) continha receitas muito gostosas.,"De acordo com o texto, o livro de receitas pode ser
considerado uma obra de arte porque
"
