questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 25073.   Química - Nível Médio - ENEM - INEP - 2014,e) são estruturas com diferentes grupos funcionais.,d) interagem de maneira distinta com o organismo.,'d',a) reagem entre si.,,c) não estão presentes em partes iguais.,b) não podem ser separados.,"A talidomida é um sedativo leve e foi muito utilizado no tratamento de náuseas, comuns no início da gravidez.Quando foi lançada, era considerada segura para o uso de grávidas, sendo administrada como uma mistura racêmica composta pelos seus dois enantiômeros (R e S). Entretanto, não se sabia, na época, que o enantiômero S leva à malformação congênita, afetando principalmente o desenvolvimento normal dos braços e pernas do bebê.

COELHO, F. A. S. Fármacos e quiralidade. Cadernos Temáticos de Química Nova na Escola, São Paulo, n. 3, maio 2001 (adaptado).

Essa malformação congênita ocorre porque esses enantiômeros"
Questão 16208.   Química - Nível Superior - Bombeiro Militar CE - CESPE - 2014,,,'a',Certo," Metais pirofóricos, como sódio (Na), zinco (Zn), magnésio (Mg), potássio (K), bário (Ba), cálcio (Ca), alumínio (Al), zircônio (Zr) e titânio (Ti), podem sofrer ignição instantânea ao entrarem em contato com umidade ou oxigênio e causar incêndios classificados como de classe D. Portanto esses metais devem ser estocados em atmosfera inerte ou em óleos minerais. O potássio, por exemplo, reage explosivamente com água, devido à liberação de hidrogênio. O bário, ao ser queimado, forma chamas coloridas de altíssimas temperaturas. As equações químicas não balanceadas, apresentadas a seguir, ilustram esses processos. K( s) + H2O( l) → KOH( aq) + H2(g) Ba(s) + O2(g) → BaO(s)",,Errado,"Para combater a classe de incêndios gerados por esses materiais, deve-se empregar um extintor de pó químico elaborado à base de cloreto de sódio (NaCl).

Considerando o texto acima e os múltiplos aspectos que ele suscita, julgue os itens a seguir, utilizando, caso necessário, a tabela periódica inserida no final deste caderno de provas.

O estado de oxidação do bário é mais reduzido na forma metálica desse elemento que na estrutura da substância que resulta como produto de sua queima."
Questão 34947.   Química - Nível Fundamental - IFMG - FCM - 2016,"e) I, II e III.",d) I e II.,'a',a) I.,,c) III.,b) II.,"Em relação às propriedades gerais dos ácidos, sais e bases, considere as afirmativas:

I- Sais são substâncias iônicas que apresentam pelo menos um cátion diferente de H+ e pelo menos um ânion diferente de OH-.
II- O ácido deixa o indicador, papel de tornassol, azul.
III- A força de interação iônica de uma base independe do grau de solubilidade em água que ela apresenta.

Está(ão) correta(s) a(s) afirmativa(s)"
Questão 18332.   Química - Nível Fundamental - Marinha do Brasil - MB - 2015,e) O Oxigênio (O) é um elemento de transição.,d) O Aluminio (Al) é um metal alcalino.,'a',a) O Mercúrio (Hg) é um metal de transição.,,c) O Hidrogênio (H) é um gás nobre.,b) O Hidrogênio (H) é um metal alcalino.,"De acordo com a Tabela Periódica dos Elementos Quimicos, assinale a opção correta."
Questão 11020.   Química - Nível Superior - SEDUC RJ - CEPERJ - 2013,e) a diminuição da concentração de oxigênio,d) o aumento da superfície de contato,'c',a) a diminuição da pressão,,c) a diminuição da temperatura,b) a adição de óxido de vanádio,"Uma das etapas da produção de ácido sulfúrico é a formação de trióxido de enxofre gasoso através da reação de dióxido de enxofre gasoso com gás oxigênio, na presença de um catalisador de óxido de vanádio.

Considere a ocorrência dessa reação em um sistema no qual o equilíbrio será alcançado. Segundo o princípio de Le Chatelier, um fator que pode deslocar esse equilíbrio no sentido da diminuição da concentração de dióxido de enxofre é:"
Questão 16212.   Química - Nível Superior - Bombeiro Militar CE - CESPE - 2014,,,'a',Certo," Metais pirofóricos, como sódio (Na), zinco (Zn), magnésio (Mg), potássio (K), bário (Ba), cálcio (Ca), alumínio (Al), zircônio (Zr) e titânio (Ti), podem sofrer ignição instantânea ao entrarem em contato com umidade ou oxigênio e causar incêndios classificados como de classe D. Portanto esses metais devem ser estocados em atmosfera inerte ou em óleos minerais. O potássio, por exemplo, reage explosivamente com água, devido à liberação de hidrogênio. O bário, ao ser queimado, forma chamas coloridas de altíssimas temperaturas. As equações químicas não balanceadas, apresentadas a seguir, ilustram esses processos. K( s) + H2O( l) → KOH( aq) + H2(g) Ba(s) + O2(g) → BaO(s)",,Errado,"Para combater a classe de incêndios gerados por esses materiais, deve-se empregar um extintor de pó químico elaborado à base de cloreto de sódio (NaCl).

Considerando o texto acima e os múltiplos aspectos que ele suscita, julgue os itens a seguir, utilizando, caso necessário, a tabela periódica inserida no final deste caderno de provas.

Entre os metais citados no texto, aquele que apresenta maior energia de ionização é o alumínio."
Questão 18359.   Química - Nível Fundamental - Marinha do Brasil - MB - 2014,e) Catação.,d) Filtração.,'a',a) Destilação fracionada.,,c) Decantação.,b) Destilação simples.,"O petroleo e uma mistura liquida que quando processada transforma-se nos subprodutos: gasolina, diesel, querosene entre outros. Mas esse processo so e possivel porque estes derivados do petróleo não tern temperaturas de ebulição muito próximas. Desta forma, qual e a opgao que indica o processo de separagao de misturas utilizado nas refinarias para dar origem aos derivados do petróleo?"
Questão 35114.   Química - Nível Fundamental - IFBA - FUNRIO - 2016,e) 1000 ml.,d) 1000 dal.,'e',a) 1000 kl.,,c) 1000 dl.,b) 1000 hl.,Qual o volume de água pura que ao nível do mar (nas CNTP) correspondente a 1 Kg dessa substância?
Questão 16173.   Química - Nível Médio - Bombeiro Militar CE - CESPE - 2014,,,'a',Certo," Os fogos de artifício podem causar acidentes como incêndios, lesões corporais e até mesmo a morte de quem os usa ou observa. O principal componente desses artefatos é a pólvora negra, composta por enxofre, salitre e carvão em cuja combustão ocorre uma reação química que libera muita energia e que, por gerar grande quantidade de gases, é também expansiva e explosiva. A equação química não balanceada apresentada abaixo é uma representação simplificada dessa combustão.

KNO3(s) + S(s) + C(s) → K2S(s) + N2(g) + CO2(g)

Com base nas informações acima e na tabela periódica, incluída no final deste caderno de provas, julgue os itens a seguir.",,Errado,O número de oxidação do nitrogênio no nitrato de potássio é maior que o do nitrogênio na molécula de N2.
Questão 16209.   Química - Nível Superior - Bombeiro Militar CE - CESPE - 2014,,,'a',Certo," Metais pirofóricos, como sódio (Na), zinco (Zn), magnésio (Mg), potássio (K), bário (Ba), cálcio (Ca), alumínio (Al), zircônio (Zr) e titânio (Ti), podem sofrer ignição instantânea ao entrarem em contato com umidade ou oxigênio e causar incêndios classificados como de classe D. Portanto esses metais devem ser estocados em atmosfera inerte ou em óleos minerais. O potássio, por exemplo, reage explosivamente com água, devido à liberação de hidrogênio. O bário, ao ser queimado, forma chamas coloridas de altíssimas temperaturas. As equações químicas não balanceadas, apresentadas a seguir, ilustram esses processos. K( s) + H2O( l) → KOH( aq) + H2(g) Ba(s) + O2(g) → BaO(s)",,Errado,"Para combater a classe de incêndios gerados por esses materiais, deve-se empregar um extintor de pó químico elaborado à base de cloreto de sódio (NaCl).

Considerando o texto acima e os múltiplos aspectos que ele suscita, julgue os itens a seguir, utilizando, caso necessário, a tabela periódica inserida no final deste caderno de provas.

Considerando-se o valor aproximado de 6 × 1023 mol -1 para a constante de Avogadro, infere-se que, quando são colocados 1,8 × 1024 átomos de bário e 2 mols de gás oxigênio em reação, formam-se mais de 400 g de BaO."
