questao,alternativa_E,alternativa_D,alternativaCorreta,alternativa_A,texto,alternativa_C,alternativa_B,pergunta
Questão 27386.   Telecomunicações - Nível Médio - Câmara de Sorocaba SP - VUNESP - 2014,e) Discagem Desvinculada a Ramal.,d) Discagem Direcionada a um Ramal.,'a',a) Discagem Direta a Ramal.,,c) Discagem Dividida em Ramais.,b) Discagem Desviada do Ramal.,"D.D.R. é a sigla que, em telefonia, significa"
Questão 23617.   Telecomunicações - Nível Médio - CEMIG TELECOM - FUMARC - 2010,,d) A primeira etapa na técnica PCM é a amostragem.,'c',a) A última etapa na técnica PCM é a codificação.,,c) O erro de quantização não muda a relação sinal ruído.,b) O decodificador PCM converte dados digitais em sinais analógicos.,"Todas as afirmativas sobre abaixo a técnica PCM estão corretas, EXCETO:"
Questão 11364.   Telecomunicações - Nível Médio - COREN SP - VUNESP - 2013,e) Audiovisual.,d) Telefônica.,'d',"a) Telemonitorada.
",,c) Telecomunicadora.,b) Digital.,"Em telefonia, o equipamento eletrônico que realiza a ligação entre dois usuários (ramais) de um sistema telefônico recebe o nome de Central"
Questão 23618.   Telecomunicações - Nível Médio - CEMIG TELECOM - FUMARC - 2010,,d) É possível gerar FM a partir do FM.,'a',a) O valor máximo para índice de modulação do sinal FM é 1.,,c) A modulação PM é a opção preferida para satélites.,b) A modulação PM é usada no QAM.,"Todas as afirmativas abaixo sobre a modulação angular estão corretas, EXCETO:"
Questão 24798.   Telecomunicações - Nível Médio - CISLIPA - FAFIPA - 2015,,"d) Simplificar e padronizar a comunicação via rádio, dando-lhe maior eficiência e clareza.",'d',a) Dificultar o entendimento da mensagem por parte do receptor.,,c) Evitar que todos entendam a mensagem transmitida.,"b) Padronizar a comunicação via rádio, visando dificultar as comunicações.","Qual a finalidade da utilização do ""Código Q"", nas transmissões de rádio?"
Questão 24800.   Telecomunicações - Nível Médio - CISLIPA - FAFIPA - 2015,,"d) Terceiro, Primeiro, Oscar, Nono.",'c',"a) Três, Um, Oito, Nove.",,"c) Terceiro, Primeiro, Oitavo, Nono.","b) Terço, Primeiro, Oitavo, November.","Para formar e transmitir o numeral ""3189"", por meio do alfabeto fonético internacional, o rádio operador deverá emitir as seguintes palavras:"
Questão 1078.   Telecomunicações - Nível Médio - ANATEL - CESPE,,,'b',Certo, ,,Errado,"De acordo com os dados do texto, havia, em 2008, mais de 2 telefones em serviço para cada habitante do DF. "
Questão 23620.   Telecomunicações - Nível Médio - CEMIG TELECOM - FUMARC - 2010,,d) Todas as afirmativas estão corretas,'a',a) Somente as afirmativas I e II são corretas,,c) Somente as afirmativas II e III são corretas,b) Somente as afirmativas I e III são corretas,"Um sistema de comunicação por fibras ópticas utiliza como meio de transmissão fibras feitas principalmente de sílica (vidro). As fibras ópticas são caracterizadas pelo número de modos de propagação como fibras multimodo e fibras monomodo. No cálculo de um sistema óptico de comunicação, os dois principais parâmetros das fibras ópticas são a taxa de atenuação e a taxa de dispersão. As fibras ópticas admitem a transmissão de vários sinais de luz de comprimentos de onda distintos, numa tecnologia denominada de WDM.

Sobre este assunto analise as afirmativas a seguir e escolha a alternativa correspondente:

I. A atenuação da luz na fibra óptica depende muito do comprimento de onda da luz e é menor na faixa do infravermelho próximo do espectro da luz visível;
II. A taxa de dispersão total na fibra óptica multímodo é bem maior nas fibras monomodo;
III. Os sistemas WDM exigem vários modos de propagação, portanto utilizam fibras multimodo;"
Questão 11368.   Telecomunicações - Nível Médio - COREN SP - VUNESP - 2013,e) ,d) ,'c',a) ,,c) ,b) ,"O conjunto formado por fone de ouvido com controle de volume e microfone acoplado, que fica preso à cabeça do(a) telefonista permitindo que ele(a) tenha as mãos livres para outras tarefas, é chamado de"
Questão 1076.   Telecomunicações - Nível Médio - ANATEL - CESPE,,,'b',Certo, ,,Errado,"Em 2008, a porcentagem de acessos no SMP no Brasil que utilizava a tecnologia GSM era inferior à porcentagem do mercado desse serviço ocupado pelas 3 principais operadoras de telefonia móvel."
Questão 1078.   Telecomunicações - Nível Médio - ANATEL - CESPE,,,'b',Certo, ,,Errado,"De acordo com os dados do texto, havia, em 2008, mais de 2 telefones em serviço para cada habitante do DF. "
Questão 27385.   Telecomunicações - Nível Médio - Câmara de Sorocaba SP - VUNESP - 2014,e) o PABX é um sistema automático e o PBX é um sistema manual.,d) o PABX precisa de um operador para funcionar.,'e',a) PBX é um sistema digital e o PABX é um sistema manual.,,c) o PBX não precisa de um operador para funcionar.,b) o PABX é um sistema exclusivamente nacional.,"Lourdinha, telefonista há mais de dez anos, sabe que a diferença entre um PBX e um PABX existe porque"
Questão 23617.   Telecomunicações - Nível Médio - CEMIG TELECOM - FUMARC - 2010,,d) A primeira etapa na técnica PCM é a amostragem.,'c',a) A última etapa na técnica PCM é a codificação.,,c) O erro de quantização não muda a relação sinal ruído.,b) O decodificador PCM converte dados digitais em sinais analógicos.,"Todas as afirmativas sobre abaixo a técnica PCM estão corretas, EXCETO:"
Questão 24797.   Telecomunicações - Nível Médio - CISLIPA - FAFIPA - 2015,,d) Zuzu.,'b',a) Zebu.,,c) Zebra.,b) Zulu.,"No Alfabeto Fonético Internacional, qual a pronúncia CORRETA da letra ""Z""?"
Questão 11364.   Telecomunicações - Nível Médio - COREN SP - VUNESP - 2013,e) Audiovisual.,d) Telefônica.,'d',"a) Telemonitorada.
",,c) Telecomunicadora.,b) Digital.,"Em telefonia, o equipamento eletrônico que realiza a ligação entre dois usuários (ramais) de um sistema telefônico recebe o nome de Central"
Questão 23622.   Telecomunicações - Nível Médio - CEMIG TELECOM - FUMARC - 2010,,d) 3 mW;,'a',a) 2 mW;,,c) 430 mW;,b) 30 mW;,"Em um sistema de comunicação, a potência medida na entrada do receptor é de 100 nW. Somados todos os efeitos, o meio de transmissão oferece uma perda total de 43 dB. Qual a potência do sinal na saída do transmissor?"
Questão 11366.   Telecomunicações - Nível Médio - COREN SP - VUNESP - 2013,e) DPI,d) DBI,'a',a) DDI,,c) DCI,b) DWI,A modalidade que permite a discagem direta para outros países é reconhecida pela sigla
Questão 11365.   Telecomunicações - Nível Médio - COREN SP - VUNESP - 2013,e) automática,d) compassada,'e',a) programada,,c) sistemática,b) manual,"Diferentemente do PBX, o sistema PABX é mais moderno e permite efetuar ligações entre telefones internos de forma"
Questão 24800.   Telecomunicações - Nível Médio - CISLIPA - FAFIPA - 2015,,"d) Terceiro, Primeiro, Oscar, Nono.",'c',"a) Três, Um, Oito, Nove.",,"c) Terceiro, Primeiro, Oitavo, Nono.","b) Terço, Primeiro, Oitavo, November.","Para formar e transmitir o numeral ""3189"", por meio do alfabeto fonético internacional, o rádio operador deverá emitir as seguintes palavras:"
Questão 1079.   Telecomunicações - Nível Médio - ANATEL - CESPE,,,'b',Certo, ,,Errado,O crescimento da teledensidade no Brasil em 2008 com relação a 2007 foi superior a 23%. 
Questão 27387.   Telecomunicações - Nível Médio - Câmara de Sorocaba SP - VUNESP - 2014,e) voice mail.,d) speaker.,'e',a) mail box.,,c) internal voice.,b) post office.,"Nas empresas ou nas instituições, o sistema que tem as funções de secretária eletrônica e que permite que os recados fiquem gravados para que o usuário possa obter sua posterior recuperação é denominado"
Questão 27386.   Telecomunicações - Nível Médio - Câmara de Sorocaba SP - VUNESP - 2014,e) Discagem Desvinculada a Ramal.,d) Discagem Direcionada a um Ramal.,'a',a) Discagem Direta a Ramal.,,c) Discagem Dividida em Ramais.,b) Discagem Desviada do Ramal.,"D.D.R. é a sigla que, em telefonia, significa"
